Dossier,Guideline,PDF link,type of study,442C/MIE_reactivity class,442C/MIE_Mean of depletion (cystine/lysine) (%),442C/MIE_Mean of depletion (cystine) (%),442C/MIE_description of relevant observations related to the analysis,442C/MIE_homogeneity,442C/MIE_pH,442C/MIE_molecular weight,442C/MIE_composition,442C/MIE_purity (%),442C/MIE_solubility in vehicle,442C/MIE_solubility in water,442C/MIE_treatment prior to application,442C/MIE_chemical batch nr,442C/MIE_additional information,442C/MIE_deviations from guideline ,442C/MIE_HPLC analysis <30h,442C/MIE_type of HPLC,442C/MIE_columns,column temperature,detector,injection volumes,442C/MIE_flow rate,gradient,442C/MIE_concentrations tested,442C/MIE_purity,442C/MIE_supplier ,lot,442C/MIE_peptide concentration,442C/MIE_year,442C/MIE_GLP,442C/MIE_SCCS comment to test,442C/MIE_Ref. in dossier,442C/MIE_control,442C/MIE_storage condition,442C/MIE_additional information,442C/MIE_own comments,442D_max average luciferase activity (maximal induction),442D_mean cell viability /concentration,442D_EC 1.5 concentration,442D_IC50 cell viability concentration,442D_IC30 cell viability concentration,442D_conc. for maximal gene induction (CI max ),prediction outcome,442D_homogeneity,442D_pH,442D_concentration (%),442D_composition,442D_purity (%),442D_solubility in solvent,442D_chemical batch nr,additional info (free text),442D_deviation from guideline,442D_type,442D_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,442D_deviation from guideline,442D_lusens_type,442D_lusens_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,,442D_concentration ,442D_solvent,442D_luminometer,442D_duration of exposure (h),442D_Year,442D_GLP,442D_SCCS comment to test,442D_Ref. in dossier,442D_controls,442D_additional information,442D_own comments,442E_mean cell viability /concentration,442E_C75 value,442E_relative flurecent intensity (CD54),442E_relative flurecent intensity (CD86),442E_predicion outcome,442E_mean cell viability /concentration,442E_C70 value,EC150 CD86 stimulation index,442E_predicion outcome,442E_GAPLA,442E_IL8LA,442E_nIL8LA/GAPLA,442E_Ind-IL8LA,442E_Inh-GAPLA,442E_CV05,442E_predicion outcome,442E_homogeneity,442E_pH,concentration (%),442E_composition,442E_purity (%),442E_solubility in solvent,chemical batch nr,442E_additional info (free text),442E_deviation from guideline,442E_source,medium,442E_cell passage number,442E_cell density/well (24),442E_cell density/well (96),442E_deviation from guideline,442E_type,442E_medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_deviation from guideline,442E_type,medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_concentration,442E_solvent,442E_antibody,flow cytometer,442E_duration of exposure (h),442E_Year,442E_GLP,442E_SCCS comment to test,442E_Ref. in dossier,442E_additional information,442E_own comments,429_442A_442B_observations and recording of toxicity,429_442A_442B_stimulation index (SI),429_442A_442B_ATP measurments,429_442A_442B_relative luminecence units (RLU),429_442A_442B_BrdI labelling index,429_442A_442B_erythema scores,429_442A_442B_ear thickness,429_442A_442B_conclusion,429_442A_442B_homogeneity,429_442A_442B_pH,429_442A_442B_physical form,429_442A_442B_concentration (%),429_442A_442B_composition,429_442A_442B_purity (%),429_442A_442B_solubility in vehicle,429_442A_442B_chemical batch nr,429_442A_442B_additional info,429_442A_442B_species/strain,429_442A_442B_source,429_442A_442B_age at start of experiment,429_442A_442B_sex,429_442A_442B_feed,429_442A_442B_n animals / group,429_442A_442B_deviation from guideline,429_442A_442B_dose levels,429_442A_442B_volume,429_442A_442B_administration scheme,429_442A_442B_vehicle,429_442A_442B_year,429_442A_442B_GLP,429_442A_442B_SCCS comment to test,429_442A_442B_Ref. in dossier,429_442A_442B_control group,429_442A_442B_preliminary test,429_442A_442B_additional information,429_442A_442B_own comments,406_histopathological observations,406_first grading,406_second grading,rechallenge grading ,406_conclusion,406_outcome of test,406_homogeneity,406_pH,406_concentration (%),406_composition,406_purity (%),406_solubility in vehicle,406_chemical batch nr,406_additional info,406_species/strain,406_source,age at start of experiment,406_sex,406_feed,406_n animals / group,deviation from guideline,406_dose levels,intradermal injections,406_injection vehicle,406_patch site preparation,406_filter paper material and size,406_vehicle,,406_year,406_GLP,406_SCCS comment to test,406_Ref. in dossier,406_control group,406_preliminary study,406_additional information,406_own comments,non_oecd_histopathological observations,non_oecd_first grading,non_oecd_second grading,non_oecd_rechallenge grading ,non_oecd_conclusion,non_oecd_outcome of test,non_oecd_homogeneity,non_oecd_pH,non_oecd_concentration (%),non_oecd_composition,non_oecd_purity (%),non_oecd_solubility in vehicle,non_oecd_chemical batch nr,non_oecd_additional info,non_oecd_species/strain,non_oecd_source,non_oecd_age at start of experiment,non_oecd_sex,non_oecd_feed,non_oecd_n animals / group,non_oecd_deviation from guideline,non_oecd_dose levels,non_oecd_intradermal injections,non_oecd_injection vehicle,non_oecd_patch site preparation,non_oecd_filter paper material and size,non_oecd_vechicle,non_oecd_duration of application,non_oecd_application area,non_oecd_volume,non_oecd_occlusion,non_oecd_testing procedure,non_oecd_scoring times,non_oecd_additional info,non_oecd_induction of local irriation,non_oecd_year,non_oecd_GLP,non_oecd_SCCS comment to test,non_oecd_control,non_oecd_Ref. in dossier,non_oecd_additional information,non_oecd_own comments,,,,,,,,,,,,,
"2,6-diamino-3-((pyridin-3-yl)azo)pyridine ",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_065.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the results obtained in this study indicate no sensitizing potential of da100491. ,"all animals were observed daily for signs of systemic toxicity. body weights were recorded on days 0 and 30. as the treated skin sites were yellow stained by the test substance, a histopathological examination was carried out on all sites treated with the test substance. no mortality occurred. body weights were not affected by the test compound. no animal was observed as reacting to the test substance. ",,,,,> 98,,l6/186 ,test substance: da100491 ,guinea pig/hartley crl:(ha)br ,,,f,,20,,,,,,,,6h each time,,,occlusive dressing,on day 28 (challenge exposure) a preparation of 15% da100491in white petrolatum was used. the dressing was removed 6 h after the application.,"24, 48 and 72 h after removal of the patches ",,"a 25% formulation of da100491in white petrolatum was prepared and applied to the clipped skin under occlusive dressing on days 0, 7 and 14 (induction phase) for 6 h each time.",1993,yes,da100491 was not sensitizing in this buehler test.,,18,"guideline: according to directive 92/69/EEC, method B.6. (1992). buehler test.  the control group of 10 female guinea pigs.",,,,,,,,,,,,,,
"2,6-dihydroxyethylaminotoluene",OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_188.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no  symptoms of local toxicity at the ears of treated mice and no systemic findings were observed during the study period. the stimulation index (S.I.) was below 3 in all dose groups. no dose response relation was noted.,"2,6-di-(2- hydroxyethylamino)toluene; concentration %: 10 stimulation index: 1.2, concentration %: 25 stimulation index: 1.0, concentration %: 50 stimulation index: 0.9. alpha-hexylcinnamic aldehyde; concentration %: 5 stimulation index: 1.5, concentration %: 10 stimulation index: 2.9, concentration %: 25 stimulation index: 6.1.",,,,,,"2,6-di-(2-hydroxyethylamino)toluene is not a sensitiser. ",,,,,,99.7,,pvs 11/02 ,"test substance: 2,6-di-(2-hydroxyethylamino)toluene ","mouse/cba strain, inbred, spf-quality ",,,f ,,5,"by topical application to the dorsum of each ear lobe (25 µL) on three consecutive days. a control group of four mice was treated with the vehicle (ethanol:water (7:3 v/v)) only. five days after the first topical application the mice were injected intravenously into a tail vein with 3H-methyl thymidine. a pproximately five hours after intravenous injection, the mice were sacrificed, the draining auricular lymph nodes excised and pooled per group. the proliferative capacity of pooled lymph node cells was determined by the incorporation of 3H-methyl thymidine measured in a ß-scintillation counter. ","0, 10, 25 and 50% ",,"three groups of five female mice each were treated with 2,6-di-(2- hydroxyethylamino)toluene at concentrations of 10, 25 and 50 % in ethanol:water by topical application to the dorsum of each ear lobe (25 µL) on three consecutive days. a control group of four mice was treated with the vehicle (ethanol:water (7:3 v/v)) only. five days after the first topical application the mice were injected intravenously into a tail vein with 3H-methyl thymidine. ",ethanol:water (7:3 v/v),7 – 21 june 2005 ,yes,,7 (submission 2),"positive control: alpha-hexylcinnamic aldehyde (in acetone:olive oil 4:1), control group of 4mice, ",,"local lymph node assay (LLNA), test animals were nulliparous and non-pregnant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-amino-4-hydroxyethylaminoanisole sulfate,OECD 406,https://ec.europa.eu/health//sites/health/files/scientific_committees/consumer_safety/opinions/sccs_o_003.pdf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there was no indication of skin sensitisation by lehmann-blau at up to 2% in DMSO. an EC3 value could not be calculated. ,"no concentration dependent increase in the mean SI values (1.29, 1.03, 1.12, 1.42) could be detected for the 4 consecutive concentrations of lehmann-blau in DMSO. the sensitivity of the test system was shown by the positive control, PPD, for which the SI were 5.47, 12.39, 19.12 and 7.07 respectively for the 4 consecutive concentrations. ",,,,,97.7,,57,test substance: lehmann-blau ,mouse/strain cba/ca,,,f,,5,"25 µl of negative control (DMSO, the vehicle), 0.25, 0.5, 1 and 2% of lehmann-blau in DMSO w/v was applied to the surface of the ear of five female CBA/Ca mice per group for three consecutive days. after application, the ears were dried with a hair dryer for five minutes. as the positive control, p-phenylenediamine (PPD) in DMSO at the same dilutions was used in parallel. on day 5, the mice received an intravenous injection of 250 µl phosphate buffered saline containing 25 µCi of [H3 ] methyl thymidine. approximately 5 hours later, the mice were killed by CO2 inhalation and the draining auricular lymph nodes removed and weighed. after preparing a single cell suspension for each mouse, cells were precipitated by TCA and the radioactivity determined by means of liquid scintillation counting as disintegrations per minutes (dpm). the mean dpm per treated group was determined and the stimulation index (SI) – the test item compared to the concurrent vehicle control – calculated. ","0, 0.25, 0.5, 1 and 2% i",,,,,dmso,,,yes,the study was not performed correctly since the induction concentrations used were too low. these doses are not suitable for a robust hazard assessment. a possible sensitising potential cannot be excluded.,22,,,"taken from SCCP/1172/08. local lymph node assay (LLNA).route: dermal, once daily for 3 consecutive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-amino-5-ethylphenol HCl ,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_085.pdf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"animals were checked for morbidity/mortality at least once daily. observation for clinical signs was done before and once per day after dosing. body weight was determined at day - 1 and day 5. at day 5, the mice received an intravenous injection of 250 µl solution containing 22.6 µCi of [H3] methyl thymidine. approximately 5 h later, the mice were sacrificed, and the draining auricular lymph nodes were removed and collected in PBS. after preparing a single cell suspension for each mouse, cells were precipitated by 5% trichloro-acetic acid (TCA), and the radioactivity was determined (incorporation of [H3] methyl thymidine in the pellets) by means of liquid scintillation counting as disintegration per minute (dpm). the positive control ppd at a concentration of 1% in dmso gave a mean stimulation index of 6.6. in dmso, 2-amino-5-ethylphenol phosphate was positive in the local lymph node assay, as there was more than 3-fold increase in isotope incorporation in the draining auricular lymph nodes relative to the vehicle. the mean stimulation indices were 1.3, 2.1, 1.8 and 4.9 at the concentrations of 0.5%, 1.5%, 5.0% and 15.0%, respectively. the EC3 value was 8.9% in DMSO. in acetone/water/olive oil, 2-amino-5-ethylphenol phosphate was negative in the local lymph node assay, as there was less than a 3-fold increase in isotope incorporation in the draining auricular lymph nodes relative to the vehicle. the mean stimulation indices were 0.9, 1.2, 1.2 and 1.3 at the concentrations of 0.5%, 1.5%, 5.0% and 15.0%, respectively. an EC3 value could therefore not be calculated. ","in dmso: the mean stimulation indices were 1.3, 2.1, 1.8 and 4.9 at the concentrations of 0.5%, 1.5%, 5.0% and 15.0%, respectively with an EC3 8.9%. in water/acetone: the mean stimulation indices were 0.9, 1.2, 1.2 and 1.3 at the concentrations of 0.5%, 1.5%, 5.0% and 15.0%, respectively no EC3 could be calculated",,,,,,"2-amino-5-ethylphenol phosphate is a moderate skin sensitiser under the defined experimental conditions in dmso, with an EC3 value of 8.9% (corresponding to 6.6% HCl salt) and is not a skin sensitiser under the defined experimental conditions in acetone/water mixed with olive oil. considering the calculated EC3 value of the phosphate salt of 2-amino-5-ethylphenol in dmso, the EC3 value of the hydrochloride salt was calculated by using the correction factor related to the different free base content of the phosphate and the hydrochloride salt. EC3 value phosphate-salt: 8.9% 8.9% = 8.9 g/100 ml x 0.738 (correction factor) = 6.6 g /100 ml = 6.6% EC3 value hydrochloride-salt: 6.6%. based on this calculation, 2-amino-5-ethylphenol hydrochloride is considered as a moderate skin sensitiser.",,,,,test substance in dmso and in water/acetone (1:1) mixed with olive oil (3:1),99.9 ,,gst 079-03/33-08,test substance: 2-amino-5-ethylphenol phosphate ,mouse/strain cba/j ,,,f ,,5,,"0, 0.5, 1.5, 5.0 and 15.0% in dmso and 0, 0.5, 1.5, 5.0 and 15.0% in acetone/water/olive oil ",,"once daily, for three consecutive days",dmso and water/ acetone (1:1) mixed with olive oil at a ratio of 3:1,2005,yes,,23,positive control:  p-phenylenediamine (PPD) at 1% in dmso was investigated in parallel under identical test conditions. ,,local lymph node assay (LLNA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic brown 17,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_086.pdf,,"no clinical signs were observed in any animals of the control groups. on the third application day, a slight erythema was observed at both dosing sites in all mice of the 3%- group. from the second application day, a moderate or slight erythema was observed at both dosing sites in all mice of 6%-group, persisting for the remainder of the in-life phase of the study. no test item related findings, such as significant body weight loss or local/systemic findings were observed up to the concentration of 1 %. at the higher concentrations tested, i.e. 3 and 6%, some test item related signs, such as slight to moderate ear erythema, were observed at the local dosing sites but no clear change of dpm/ln was caused by this local irritant effect. ",no,,"concentration (%) - s.i. test item: 0.2 - 1.0, 0.5 - 1.0, 1 - 1.3, 3 - 0.9, 6 - 1.3. α-hexylcinnamaldehyde: 5 - 2.4, 10 - 3.6, 25 - 11.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no clinical signs were observed in any animals of the control groups. on the third application day, a slight erythema was observed at both dosing sites in all mice of the 3%- group. from the second application day, a moderate or slight erythema was observed at both dosing sites in all mice of 6%-group, persisting for the remainder of the in-life phase of the study. no test item related findings, such as significant body weight loss or local/systemic findings were observed up to the concentration of 1 %. at the higher concentrations tested, i.e. 3 and 6%, some test item related signs, such as slight to moderate ear erythema, were observed at the local dosing sites but no clear change of dpm/LN was caused by this local irritant effect. all treated animals survived the scheduled study period. ",concentration (%): s.i.; test item 0.2: 1.0; 0.5: 1.0; 1: 1.3; 3: 0.9; 6: 1.3; α-hexylcinnamaldehyde 5: 2.4; 10: 3.6; 25: 11.2,,,,,,"the test item did not show an allergenic potential when tested up to the concentration of 6 % (w/v) in ethanol/water (7/3, v/v). ",,,,,,77.4 ,6% was the highest technically applicable concentration in the vehicle.,64960101,test substance: b007 (basic brown 17) ,mouse/cba/cahsdrcc (spf) ,,,f,,4,,"0.2, 0.5, 1, 3, 6 %",25µl,"daily with 0.2, 0.5, 1, 3 and 6% (w/v) in ethanol/water (7/3, v/v) by topical application to the dorsum of each ear lobe (left and right) for three consecutive days.","ethanol/water  7/3, v/v ",2005,yes,the vehicle used is not a recommended vehicle for llna. the maximum test concentration is too low. a conclusion on sensitisation cannot be drawn.,8,"3 positive control group of four mice treated with: 5, 10 and 25% (w/v) α-hexylcinnamaldehyde in acetone:olive oil (4:1,v/v). two negative control group treated with the vehicle only (ethanol/water (7/3, v/v))",,"taken from sccp/1173/08. local lymph node assay (llna). method of analysis: β-scintillation counter. Total number of animals: 28 (5 test groups, 2 negative control groups)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc blue n° 15,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_089.pdf,,"morbidity/mortality checks were performed twice daily. clinical examinations were performed daily. individual body weights were recorded on days -1 and 5. all animals were sacrificed on day 5 for the assessment of cell proliferation. there were no treatment-related clinical signs. there were no treatment-related effects on body weight or body weight gains. positive control induced a positive response, as it elicited at least a 3- fold increase in isotope incorporation relative to the vehicle. ",no mortality was observed during the study. ,si was 3.9 at the concentration of 1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"morbidity/mortality checks were performed twice daily. clinical examinations were performed daily. Individual body weights were recorded on days -1 and 5. all animals were sacrificed on day 5 for the assessment of cell proliferation. no mortality was observed during the study. there were no treatment-related clinical signs. there were no treatment-related effects on body weight or body weight gains. the test substance induced a negative response, as it did not elicit a least a 3-fold increase in isotope incorporation relative to the vehicle. ","the mean stimulation indices were 1.0, 1.7, 2.3 and 1.9 at the concentrations of 0.5%, 1.5%, 3.0% and 5.0%, respectively. ",,,,,,"based of these results, the test substance is not a skin sensitizer under the defined experimental conditions. ",,,,,,see comments on analytical characterisation ( batch purity),,bb77-020420,test substance: hc blue n° 15,mouse: cba/j,,,f,,5,,"0.5, 1.5, 3, 5 % (w/v)",2.5 μl ,"on days 0, 1 and 2 on the dorsal surface of each pinnae ",dmso,,yes,"the highest test concentration was too low. therefore, sensitising potential has not been excluded. ",21,"positive control: p-phenylenediamine. positive control (p-phenylenediamine) induced a positive response, as it elicited at least a 3-fold increase in isotope incorporation relative to the vehicle. the mean stimulation index was 3.9 at the concentration of 1%. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic violet 2,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_066.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"body weights were recorded on days 1 and 25 (termination of the study). body weights were not affected by the test compound. as marked coloration prevented formal assessment of erythema at any time point during the main study, assessment of skin fold thickness was performed. with the exception of one animal, values of the vehicle treated sites and test substance treated sites were in the same range in animals of the test group compared to animals of the control group. ",,,,,,,,,,94,,gst 063-01/41-06 ,test substance: basic violet 2 ,guinea pig/dunkin-hartley,,,f,,20,,,,,"dermal challenge: 50% solution in distilled water occlusive dressing for 48h. after a period of 2 weeks without treatment, sensitisation reactions were challenged in the test group as well as in one negative control group by dermal administration of the test substance in sterile water (50%, on one flank and vehicle alone on the contralateral flank) under occlusive dressing for 24 hours.",,,"dermal induction: 50% solution. in the first week of induction, the test group was treated with single intradermal injections of complete freund's adjuvant/water mixture 1:1 (v/v), 1% of the test substance in sterile water and with 1% of the test substance emulsified in freund's complete adjuvant. ",2003,yes,the test is inconclusive due to staining of the skin. ,20,"10 animals per control group, 2 control groups. the negative control groups were treated with the adjuvant and the vehicle (sterile water) in the same manner."" intradermal injection: the negative control groups were treated with the adjuvant and the vehicle (sterile water). induction epicutanous application: the negative control group was treated with the vehicle alone. challenge: negative control by dermal administration of sterile water on the contralateral flank).",preliminary screening study available),observation period: 25days. scoring:24 and 48 hours after removal of the patches. gpmt. taken from sccnfp/0784/04.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic violet 2,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_066.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"body weights were recorded on days 1 and 31 (termination of the study). body weights were not affected by the test compound. as intense staining of the skin prevented formal assessment of erythema at any time point during the main study, assessment of skin fold thickness was performed. no differences between values of the test group compared to values of the control group were apparent. slightly thicker skin at vehicle treated sites compared to test substance treated sites in both treated and control animals was regarded to be due to the different location (vehicle sites being anterior to test substance site). two reliability checks with mercaptobenzothiazole are stated at the end of the test: one generated 30% response in the test group and 0% response in the control group and the second check revealed 70% response in the test group and 70% response in the control group. both were found acceptable by the performing laboratory. ",,,,the performing laboratory concludes that the test compound is not sensitising.,,,,,,94,,gst 063-01/41-06,test substance: basic violet 2 ,guinea pig/dunkin-hartley,,,f,,20,,,,,"on study day 29, sensitisation reactions were challenged in the test as well as in one negative control group by topical administration of the test substance in sterile water (50% on one side and vehicle alone on the contralateral flank) under occlusive dressing for 6 hours.",,sterile water ,"during the induction phase, the test group was treated with the test substance in sterile water at 75% at the left flank. the gauze patches with test substance or vehicle under occlusive dressing were removed after 6 hours. approximately 24 hours after removal of the patches, skin reactions were scored. these procedures were repeated at weekly intervals (days 8/9 and 15/16 of the study).",2003,yes,"due to intense staining of the skin, both experiments are inconclusive. ",21,10 animals in control group. induction epicutanous application: the control group was treated with sterile water at  the right flank. challenge: negative control by dermal administration of sterile water on the contralateral flank).,preliminary screening study available,taken from sccnfp/0784/04. buehler test; no justification is given for the performance of the buehler test. observation time: 25 days. scoring: 24 and 48 hours after removal of the patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occluded,,,"on study day 29, sensitisation reactions were challenged in the test as well as in one negative control group by topical administration of the test substance in sterile water (50%
on one side and vehicle alone on the contralateral flank) under occlusive dressing for 6 hours. following the 48 hour examination at challenge, skin fold thickness of the treated sites was
measured using a digital micrometer. ",,24 and 48 hours after removal of the patches,,,,,,75%,,sterile water,"occluded, gauze patch",left flank,6h,"the gauze patches with test substance or vehicle under occlusive dressing were removed after 6 hours. approximately 24 hours after
removal of the patches, skin reactions were scored. these procedures were repeated at weekly intervals (days 8/9 and 15/16 of the study). ",buehler
basic orange 31,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_082.pdf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown-red discoloration was noted directly after removal of patches. to remove discoloration, all animals were depilated 3 hours prior to challenge reading with a depilatory cream. none of the animals of the control or test group were observed with skin reactions after challenge with a non-irritating dilution of 50% of the test material. ",,,,mip 3100 was considered not to be a sensitiser under the test conditions. ,,,,,,56.1,,mip 3100/23 r-1,test substance: mip 3100. purity is calculated on the base with 19.3% sodium and 25.7% chloride,guinea pig/albino,,,f,,20,,,,,"challenge performed on day 22 (14 days epidermal applications) by exposing 50% aqueous dilution of the test substance (24 hours, occlusion).",,,intradermal induction: 5% aqueous solution with freund’s complete adjuvant. topical induction: a 50% dilution of test material under occlusion for 48 hours. ,,yes,"this study was not considered adequate. in other batches considered in this dossier, basic orange 31, the active ingredient, was >94% w/w with sodium 35% in the study dossier (nov 1996). in the analytical report, (aug 2001), mip 3100/23 r-1 is described as the methylsulphate salt and the active ingredient was 56% w/w; with free non-combined sodium (19.3% w/w) and chloride (25.7% w/w).",9,10 animals in control group. controls received vehicle only,,"taken from sccs/1334/10. magnusson and kligman guinea pig maximisation test. before the topical induction, skin was pretreated with 10% sodium lauryl sulphate in liquid paraffin. 24h exposure. animals were examined 24 and 48h after patch removal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic orange 31,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_082.pdf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no increase in ear thickness was observed in the animals of the treated group. a red coloration of the skin, which could have masked an erythema, was noted on the ears of the treated animals from day 2 up to the end of the study.",a dose-related increase in the stimulation index was noted and the threshold positive value of 3 was exceeded at the concentrations of 1 and 5%. ,,,,,,"in the absence of local irritation, the positive lymphoproliferative responses observed at 1 and 5% were attributed to delayed contact hypersensitivity. the extrapolated EC3 value for the test item mip 3100 was 3.12%. mip 3100 induces delayed contact hypersensitivity in the murine local lymph node assay. ",,,,"0.25, 0.5, 1, 2.5, 5 %",,94.1,,013673a1 ,test substance: mip 3100. purity is calculated as chrloride salt,mouse/cba/j,,,f,,4,,"0.25, 0.5, 1, 2.5, 5 %",,,ethanol/water - 50/50 v/v,,,the test item is a moderate sensitiser.,,a negative control received the vehicle (ethanol/water – 50/50 v/v). a positive control group received 25% alpha-hexylcinnamaldehyde.,,llna. 7 groups of 4 animals. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
