Dossier,guideline,type of study,PDF link,OECD_451_453_observations,OECD_451_453_non-neoplastic findings (organ),OECD_451_453_neoplastiv findings (organ),OECD_451_453_moribound or dead animals prior to study termination,OECD_451_453_conclusion,OECD_451_453_homogeneity,OECD_451_453_pH,OECD_451_453_concentration (%),OECD_451_453_composition,OECD_451_453_purity (%),OECD_451_453_solubility in vehicle,OECD_451_453_chemical batch nr,OECD_451_453_additional info,OECD_451_453_species/strain,OECD_451_453_source,OECD_451_453_age at start of experiment,OECD_451_453_sex,OECD_451_453_feed,OECD_451_453_n animals / group,OECD_451_453_dose levels,OECD_451_453_administration scheme,OECD_451_453_oral,OECD_451_453_% of body surface,OECD_451_453_area of body,OECD_451_453_inhalation,OECD_451_453_vehicle,OECD_451_453_observation period,OECD_451_453_control and recovery group ( satelite group),OECD_451_453_Study duration,OECD_451_453_SCCS comment to test,OECD_451_453_year,OECD_451_453_GLP,OECD_451_453_Ref. in dossier,OECD_451_453_additional info,OECD_451_453_own comment,Non-OCED_observations,Non-OECD_non-neoplastic findings (organ),Non-OCED_neoplastic findings (organ),Non-OCED_ or dead animals prior to study termination,Non-OCED_conclusion,Non-OCED_homogeneity,Non-OCED_pH,Non-OCED_concentration (%),Non-OCED_composition,Non-OCED_purity (%),Non-OCED_solubility in vehicle,Non-OCED_chemical batch nr,Non-OCED_additional info,Non-OCED_species/strain,Non-OCED_source,Non-OCED_age at start of experiment,Non-OCED_sex,Non-OCED_feed,Non-OCED_n animals / group,Non-OCED_dose levels,Non-OCED_administration scheme,Non-OCED_oral,Non-OCED_% of body surface,Non-OCED_area of body,Non-OCED_inhalation,Non-OCED_vehicle,Non-OCED_observation period,Non-OCED_Study duration,Non-OCED_SCCS comment to test,Non-OCED_year,Non-OCED_GLP,Non-OCED_preliminary study,Non-OCED_control group,Non-OCED_Ref. in dossier,Non-OCED_additional info,Non-OCED_own comment,complimentary comments
"2,4-diaminophenoxyethanol dihydrochloride and sulfate",/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_035.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rat study: groups of rats were allowed free access to drinking water containing 0, 0.05 or 0.1% 2-(2’, 4’-diaminophenoxy) ethanol dihydrochloride. corresponding intake levels were 0, 20.9 and 35.5 mg/kg bw/day for male rats and 0, 27.8 and 60.9 mg/kg bw for female rats. in the high dose groups, dosing was withheld in males during weeks 12-16 and 32-36 and in females during weeks 32-36 since a marked depression of body weight gain was noted. all animals were observed for clinical signs daily, and were weighed at 4-weeks intervals. blood biochemical tests were performed (not clear which ones; data not reported). at necropsy, organ weight of several organs was recorded (data not reported). microscopic examinations were performed on brain, salivary glands, lungs, heart, liver, stomach, duodenum, pancreas, spleen, kidneys, prostate, testes, seminal vesicle, urinary bladder, uterus, ovaries, pituitary, thyroids and adrenals. result in rats: body weight gain was depressed in both treatment groups, for both males and females. overall survival rate was 71%. no results on organ weight and biochemical tests are presented in the test report (there is only a reference to a Japanese report). in general, tumour incidences in control and treated groups were the same. in the highest dose groups, pigment deposition in the epithelial cells of thyroid follicles of both males and females was observed. the distribution of these deposits did not show a correlation with the occurrence of tumours. an increase of the C-cell adenoma was observed in the thyroid gland of male rats (1/48, 11/49 (p=0.004) and 7/49 (p=0.05)). mice study: groups of mice were allowed free access to drinking water containing 0, 0.04 or 0.07% 2- (2’, 4’-diaminophenoxy) ethanol dihydrochloride. corresponding intake levels were 0, 35.8 and 62.8 mg/kg bw/day for male rats and 0, 44.6 and 81.4 mg/kg bw for female mice. all animals were observed for clinical signs daily, and were weighed at 4-weeks intervals. blood biochemical tests were performed (not clear which ones; data not reported). at necropsy, organ weight of several organs was recorded (data not reported). microscopic examinations were performed on brain, salivary glands, lungs, heart, liver, stomach, duodenum, pancreas, spleen, kidneys, prostate, testes, seminal vesicle, urinary bladder, uterus, ovaries, pituitary, thyroids and adrenals. mice: no effect on body weight gain was noted in this study. overall survival rate was 72%. no results on organ weight and biochemical tests are presented in the test report (there is only a reference to a Japanese report). tumour incidences in control and treated groups were the same. in the highest dose groups, pigment deposition in the epithelial cells of thyroid follicles of both males and females was observed. the distribution of these deposits did not show a correlation with the occurrence of tumours. ",,,,"rats: although the study authors report that C-cell adenomas are common in old f334 rats, they do not provide historical control values. therefore it cannot be concluded that the increase in these tumours is toxicologically significant or not. at this moment, no conclusion on the carcinogenicity can be drawn. mice: under the conditions of the study, the test substance was not carcinogenic in mice. ",,,,,96%,,,"test substance: 2-(2’, 4’-diaminophenoxy)ethanol dihydrochloride ",rat/ f344/ducrj and mouse/crj:bdf1 ,,,f & m,,100,"rats: 0.1 and 0.05%, mice: 0.07 and 0.04%","oral, drinking water","oral, drinking water",,,,tap water,104 weeks,,,,no,,,14,"in a preliminary study (data not provided) the mtd was determined to be 0.1% in drinking water for rats and 0.07% for mice. rats: although the study authors report that C-cell adenomas are common in old F334 rats, they do not provide historical control values. therefore it cannot be concluded that the increase in these tumours is toxicologically significant or not. at this moment, no conclusion on the carcinogenicity can be drawn. mice: under the conditions of the study, the test substance was not carcinogenic in mice. ",,
n-methyl-2-pyrrolidone (NMP),,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"evaluations: body weight, food consumption, clinical signs, ophthalmology evaluation, haematology at 12, 18 and 24 months (high dose), and microscopic evaluation of a standard set of tissues and organs. decrements in body weight, body weight gain, and food intake were noted at 15000 mg/kg, in males and females. at the end of the 2-year feeding period, body weights of 15000 mg/kg males and females were 25 and 35% lower than control, respectively. a substance– related decrease in survival, associated with a chronic progressive nephrotoxicity/uremia occurred in males at 15000 mg/kg (32% survival in controls/24% in treated males). there was a lower survival in males at 5000 mg/kg and in females at 1600 and 15 000 mg/kg, due to combination of single instances of a variety of lesions (e.g. pituitary tumours), which were considered not treatment-related (no dose-response relationship). no toxicologically significant clinical signs of toxicity, ophthalmic changes or leucocyte differential counts were detected in either males or females, at any doses. morphological changes were seen in males at 15 000 mg/kg and consisted in increased incidence of small testes (weights not reported, 6/62, 6/62, 8/62, and 14/62 at 0, 1600, 5000, and 15 000 mg/kg, respectively), of fluid within the pleural cavity, and of kidneys with chronic progressive nephropathy. microscopic morphological changes: increased severity of pigment accumulation in macrophages in the spleen was seen in both 15 000 mg/kg males and females. the number of males with severe nephropathy was also increased (7/62, 10/62, 12/62, 25/62 for 0, 1600, 5000 and 15 000 mg/kg, respectively). several other lesions were reported in the males at the high dose, which may be secondary to the renal failure and/or to the debilited conditions of the animals: i.e. centrilobular fatty change in the liver, thrombus in the renal vein of the kidney, lymphoid depletion of the mesenteric lymph node, hypertrophy/cystic degeneration in the adrenal cortex associated with bilateral degeneration/atrophy of seminiferous tubules in the testes (15/62, 17/62, 15/62, and 35/62 at 0 1600, 5000 and 15 000 mg/kg, respectively), bilateral oligospermia/germ cell debris in the epididymides (11/62, 14/62, 12/62, and 35/62 at 0 1600, 5000 and 15 000 mg/kg, respectively), and fibrous osteodystrophy in the femur/knee joint and sternum. in addition, polytarteris in the cecum, mesenteric lymph node and in the testis were observed. the toxicological significance of these findings was not clear. NMP was not oncogenic in males and females up to doses of 15 000 mg/kg. the primary NMP-related effect was an increase in chronic progressive nephropathy in males. ",,,,the NOAEL was 207 mg/kg bw/day in males and 283 mg/kg bw/day in females (5000 mg/kg in both sexes). ,,,,,99.8,,,,rat/crl:cd,,,f & m,,124,"0, 1600, 5000, or 15 000 mg NMP/kg diet. the mean daily NMP dose was 0, 66.4, 207, and 678 mg/kg bw/day in males and 0, 87.8, 283, and 939 mg/kg bw/day in females.","oral, diet for 2 years","oral, diet for 2 years",,,,,,2 years,"the potential carcinogenicity of NMP has been investigated in two long-term studies with rats and one with mice. no oncogenic potential of NMP in rats was found after oral administration (highest dose 678 mg/kg bw/day) or inhalation exposure (highest dose 400 mg/m³; about 100 mg/kg bw/day). chronic nephropathy, especially in males, was the main toxic effect recorded. in the oral mice study at the highest dose, an increased frequency of liver adenomas (males and females) and carcinomas (males) was found. no evidence of an increase incidence of malignant tumours was seen at lower doses and there were no NMP related neoplastic or non-neoplastic changes in other organs. NMP is not considered to have genotoxic potential in vivo. thus, the mice liver tumour at the highest dose tested may be induced by a non-genotoxic mechanism and is not relevant in relation to the low exposure from NMP in cosmetics. oral mice study: SCCS considers that the NOAELs are 173 mg/kg bw/d in males and 221 mg/kg bw/d in females.",,,,,38,,,
n-methyl-2-pyrrolidone (NMP),,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"evaluations: body weight, food consumption, clinical signs, haematology at 12, and 18 months (high dose), and microscopic evaluation of a standard set of tissues and organs. there was no adverse effect on the incidences of clinical observations, food consumption, survival, and haematology, in either males or females, at any dose. the body weight of the high-dose males was slightly lower at the end of the treatment (5%). the absolute and/or relative liver weights were significantly increased in the males and females at 7200 mg/kg, and in the 1200 mg/kg males. they were considered to be the result of liver tumours and/or centrilobular hepatocellular hypertrophy (0/50, 0/50, 3/50, 43/50 in males, at 0, 600, 1200, and 7200 mg/kg, respectively). changes in the weight of kidney, testes, adrenal, ovarian and brain were noted, without histological correlates and/or dose-response relationship. therefore, they were not considered to be test substancerelated. there was an increased incidence of foci with cellular alterations in the liver at 7200 mg/kg: clear cell foci (males), eosinophilic foci (males and females), and basophilic foci (females). at 7200 mg/kg, there was an increase in the occurrence of hepatocellular adenomas [5/50 (10%), 2/50 (4%), 4/50 (8%), and 12/50 (24%) at 0, 600, 1200, and 7200 mg/kg, respectively] and carcinomas [4/50 (8%), 1/50 (2%), 3/50 (6%), 13/50 (26%) at 0, 600, 1200, and 7200 mg/kg, respectively] in male mice, and an increased incidence of adenomas in females [2/50 (4%), 2/50 (4%), 1/50 (2%), 7/50 (14%) at 0, 600, 1200, and 7200 mg/kg, respectively]. no evidence of an increase incidence of malignant tumours was seen at lower doses. there were no NMP-related neoplastic or non-neoplastic changes in other organs.",,,,,,,,,99.8,,,,mice/b6c3f1,,,f & m,,100,"0, 600, 1200, or 7200 mg NMP/kg diet. the mean daily NMP dose was 0, 89, 173, and 1089 mg/kg bw/day for males and 115, 221, and 1399 mg/kg bw/day in females. ","oral, diet for 2 years","oral, diet for 2 years",,,,,,2 years,"the authors state that the relative liver weights were significantly increased in the 1200 mg/kg males. it is noted that the relative liver weights (% of body weight) were 3.8, 3.6, 4.0, and 5.0 in the control, 89 mg/kg bw/d, 173 mg/kg bw/d, and 1089 mg/kg bw/d, respectively. moreover, non-neoplastic and neoplastic lesions in mice were only observed at the highest dose. sccs considers that the NOAELs are 173 mg/kg bw/d in males and 221 mg/kg bw/d in females.  ",,,,,38,,,
n-methyl-2-pyrrolidone (NMP),,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ten rats/ sex were subjected to haematology and blood and urine chemistry analysis after 1, 3, 6, 12, and 18 months of exposure. ten rats/ sex were sacrificed after 3, 12, and 18 months.all surviving rats were killed at the end of 24 months of exposure and subjected to a gross examination. all vital organs and tissues were subjected to microscopic examination. respiratory tract toxicity was observed at 400 mg/m³ as a minimal inflammation in the lung. male rats exposed to 400 mg/m³ for 18 months showed higher haematocrit and higher alkaline phosphatase levels in serum than were observed in the control group. there was no such difference after 24 months of exposure. at the 400 mg/m³ dose level, male rats excreted larger urine volumes, and both males and females excreted dark yellow urine. the 2-year study showed a 6% reduction in the mean body weight in male rats at the 400 mg NMP/m³ dose level (statistical significance not reported). clinical chemistry, haematology, and gross and microscopic examination were conducted after 1, 3, 6, 12, 18 months (10 animals/sex/dose) and two years (all surviving animals). there were no treatment-related effects on mortality or morbidity. at 400 mg/m³, males and females discharged dark yellow urine and the males had a greater urine volume. after 2 years, male rats had gained slightly less body weight at 400 mg/m³ (6%). males at 400 mg/m³ for 18 months had high haematocrits and serum alp. no other significant changes were found in the haematology, clinical chemistry and urine analysis. histopathological evaluation revealed a wide variety of spontaneous neoplastic and non-neoplastic lesions that were considered to be mostly age-related and occurred with the same incidence and severity in control and treated animals. a slightly higher incidence of progressive nephropathy was found at 12 months in males exposed to 40 mg/m³, and in rats exposed to 400 mg/m³ that died or were euthanized before 18 months. no difference was observed at the 18 and 24 months. chronic nephropathy was considered a commonly occurring lesion in the kidneys of aging rats (especially males).",,,,NMP was reported to have no oncogenic potential.,,,,,,,,,rat/charles river crl:cd,,,f & m,,240,"0, 40, or 400 mg/m³ ","inhalation, whole body, 6 h/day, 5 days/week. ten rats/ sex were subjected to haematology and blood and urine chemistry analysis after 1, 3, 6, 12, and 18 months of exposure. ten rats/ sex were sacrificed after 3, 12, and 18 months. ","inhalation, whole body, 6 h/day, 5 days/week. ten rats/ sex were subjected to haematology and blood and urine chemistry analysis after 1, 3, 6, 12, and 18 months of exposure. ten rats/ sex were sacrificed after 3, 12, and 18 months. ",,,,,,2 years,"the potential carcinogenicity of NMP has been investigated in two long-term studies with rats and one with mice. no oncogenic potential of NMP in rats was found after oral administration (highest dose 678 mg/kg bw/day) or inhalation exposure (highest dose 400 mg/m³; about 100 mg/kg bw/day). chronic nephropathy, especially in males, was the main toxic effect recorded. in the oral mice study at the highest dose, an increased frequency of liver adenomas (males and females) and carcinomas (males) was found. no evidence of an  increase incidence of malignant tumours was seen at lower doses and there were no NMPrelated neoplastic or non-neoplastic changes in other organs. NMP is not considered to have genotoxic potential in vivo. thus, the mice liver tumour at the highest dose tested may be induced by a non-genotoxic mechanism and is not relevant in relation to the low exposure from NMP in cosmetics. ",,,,,24,,,
"2,6-diaminopyridine",/,in vitro,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_084.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In vitro Syrian Hamster Cells (SHE) Transformation Assay; Guideline: / Species/strain: Syrian Hamster Embryo (SHE) cells, Test substance: 2,6-diaminopyridine, Batch: A3221, Purity: 99.7%, Vehicle: DMSO, Concentrations: 200, 400, 500, 550, 575, 600, 625 µg/mL, Positive control: benzo[a]pyrene, 5 µg/mL, GLP: in compliance, Study period: 2 July 2004 – 5 March 2005.cryopreserved cell stocks of both target and feder syrian hamster embryo (SHE)cells were prepared from embryo cells derived from time-pregnant syrian golden hamster at 13 to 13.5 days of gestation. cells were kept in liquid nitrogen. SHE cells were cultured in LeBoef’s modification of Dulbecco’s Modified Medium (DMEM) suplemented with 20% fetal bovine serum (FBS) and 4 mM L-glutamine. sodium bicarbonate content of the medium was formulated to maintain a pH of 6.65 – 6.75. cells were cultured at 37±1 °C in humidified air containing 10±0.5% CO2. sufficient target SHE cells expected to generate 25 – 45 colonies/dish were seeded in 2 ml of culture dishes containing 2 ml of culture medium and approximately 4x104 feeder SHE cells (prevuously X-irradiated sufficiently to prevent replication) that were seeded 24 hours earlier. 45 dishes were prepared for each concentration (200, 400, 500, 550, 575, 600, 625 µg/mL) of 2,6-diaminopyridine (batch: A3221, purity: 99.7%) and control groups (vehicle control: dmso, positive control: benzo[a]pyrene, 5 µg/mL) . cultures were incubated for a period of 7 days. while the positive control, benzo(a)pyrene, induced a significant number of morphologically altered colonies, none of the concentrations of 2,6-diaminopyridine caused a significant number of morphologically tranformed colonies. it was concluded the 2,6-diaminopyridine did not induce transformation of SHE cells. ref.: 12"
"2,6-dihydroxyethylaminotoluene",/,in vitro,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_188.pdf  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"malignant transformation of C31-1-mouse M2-fibroblasts in vitro. the test substance was dissolved in dimethylsulfoxide (dmso) and tested in a concentration range of 50-4000 μg/ml (without and with addition of an external metabolising system; s9, aroclor-1254 induced). C3H-mouse M2-fibroblasts were used as indicator cells. the solvent served as negative control. positive control substances were N-methyl-N'-nitro-Nnitrosoguanidine (0.5 μg/ml), methylcholanthrene (10 μg/ml) and 2-acetylaminofluorene (10 μg/ml). the test substance was tested up to concentrations inducing significant cytotoxicity; the compound was detoxified by microsomal metabolism. 2,6-dihydroxyethylaminotoluene was inactive at inducing malignant transformation in vitro. the positive controls yielded the expected results indicating the proper functioning of the indicator cells and the external metabolising system. the cell transformation test used has not been validated. ref.: 13 (submission 1)"
triclosan,OECD 451,in vivo,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,"decreased survival occurred in males (100 mg/kg bw/d) and high-dose females (a smaller decrease in high-dose males was not significant); therefore, only the survival in females was considered to be affected by triclosan. increased plasma levels of liver function enzymes were observed in higher dose mice, and decreased cholesterol was measured at all doses. there were no biochemical or pathological indications of kidney effects. increased incidences of hepatic nodules or masses or discolorations were observed in higher dose animals. no histopathological changes other than in liver (hepatocellular hypertrophy in all animals except lowdose females) were attributed to triclosan treatment. data show dose-dependent increases in liver adenomas and carcinomas, with increased incidence in males vs. females. Incidences of mice bearing at least 1 hepatic tumour (i.e., combined adenoma and carcinoma data) were: 6, 10, 17, 32, 42 in males and 0, 1, 3, 6, 20 in females at doses of 0, 10, 30, 100, and 200 mg/kg bw/d, respectively. in summary, effects in the liver, serum cholesterol decreases (males and females) and hepatocellular hypertrophy (males only) were observed at the lowest dose of 10 mg/kg bw/d;",,,,investigators concluded that there was no noel based on liver changes at all dose levels. the loael was 10 mg/kg bw/d based on liver changes. this dose level was considered as noael based on haematotoxicity when excepting the target organ liver.,,,,,,,,test substance: triclosan,mouse/cd-1,,,f & m,,100,"0, 10, 30, 100, 200 mg/kg bw/d",repeated for 18 months ,"yes, diet ",,,,,18 months,40 animals/ dose (6-month interim),,"doses tested in the 3 carcinogenicity assays were comparable, ranging from 10 to 200 mg/kg body weight/day in mice, 12 to 127 mg/kg body weight/day (for males) and 17 to 190 mg/kg body weight/day (for females) in rats, and 12 to 250 mg/kg body weight/day in hamsters. survival was not altered by triclosan treatment in the rat study, whereas decreased survival was observed in both the hamster and the mouse studies. in general, neither biochemistry/clinical chemistry nor haematology analyses showed any serious  effects that could be attributed to triclosan treatment, except in the case of liver-related changes in the mouse study. rats showed no changes in liver function enzyme activity in plasma, including alanine aminotransferase (alt) and aspartate aminotransferase (ast), which would be indicative of hepatic damage. liver effects in rats in the carcinogenicity study were limited to increased incidences of hepatocyte hypertrophy and hyaline-staining inclusions in high-dose males at early time points in the study. these findings were not observed in animals at the termination of the study. as with rats, hamsters showed no alterations in liver function enzymes. the effects of triclosan in hamster liver, as observed in the carcinogenicity study, were limited to a slight decrease in organ weight in high-dose females. this finding was attributed to the decreased body weight gain at this dose level. in addition to the organ weight effects, slight, but statistically significant, decreases in erythroid parameters and in triglycerides were measured in mid-dose females. the only notable histopathological finding was an increased incidence of rarified hepatocytes in a few high-dose males. in contrast to observations in rats and hamsters, liver effects in the mouse included increased liver function enzymes in plasma; decreased blood cholesterol levels; significant increases in liver weights; increased incidences of hepatic nodules, discolorations, or masses; hepatocellular hypertrophy; and, increased incidences of both hepatocellular adenomas and hepatocellular carcinomas, depending on dose level. Signs of liver effects, increases in cholesterol (both sexes) and hypertrophy (males only) were seen at the lowest dose of 10 mg/kg body weight/day. hypertrophy was seen in mice of both sexes at 30 mg/kg body weight/day, and increases in liver function enzyme levels were seen in mice of both sexes at doses of 100 and 200 mg/kg body weight/day. Increases in numbers of hepatic tumours were observed at doses of 30 mg/kg body weight/day and higher. summary and noael values from the rodent carcinogenicity studies : three rodent lifetime bioassays have been conducted to evaluate the carcinogenic potential of triclosan. triclosan produced hepatic effects and hepatic tumours in mice, but little evidence of toxicity and no tumours in rats. hamsters showed increased liver toxicity relative to the rat, but no tumours. no noael could be determined for the mouse, based on findings of liver effects at all doses (effects of hepatocyte hypertrophy and decreased plasma cholesterol). increased incidences of liver tumours were observed at doses of 30 mg/kg body weight/day and higher in mice. it should be noted that triclosan is a peroxisome proliferator in mouse liver. the noel for the rat study was determined by study investigators to be the mid-dose of 1,000 ppm, or ~48 mg/kg body weight/day for males and females combined, based on the finding of hepatocyte changes in the high-dose group of 3,000 ppm (~127 mg/kg body weight/day in males and 190 mg/kg body weight/day in females). although absolute adrenal weights were elevated at the 1,000 ppm dose in rats, this change was not considered to be adverse for a number of reasons, including a lack of change in relative adrenal weights, a lack of change in adrenal weights in the high-dose group, and the absence of accompanying histopathological changes in the adrenal glands. the noael for the hamster study was determined to be the mid-dose of 75 mg/kg body weight/day. although the values for certain haematologic parameters were significantly altered at doses of 12 and 75 mg/kg body weight/day, the erythroid changes were slight (on the order of 5 to 10%), and not considered to be adverse effects per se. an increase in triglycerides (40 to 50%) was not considered to be an adverse effect, as the increase was not accompanied by any changes in liver weight or histopathology. the noael values for the three rodent lifetime cancer bioassays are summarized below:  species : noael (mg/kg bw/day) : comment;  mouse : 10 (this value is a loel for tumour formation only) : no overall noael due to hepatotoxic effects observed at the lowest dose tested. there were no tumours observed in other tissues; rat :  ~48 (noael, 1000 ppm ~48 mg/kg body weight/day for males and females, combined : noael based on systemic toxicity. there was no evidence of tumour formation, including in liver. there was no evidence of hepatotoxicity; hamster : 75 : noael based on systemic toxicity. there was no evidence of tumour formation, including in liver. comment: according to the eu classification system, triclosan is not considered classifiable as a carcinogen. it should be noted that triclosan is a peroxisome proliferator in mouse liver. ",1995,yes,66,pharmaco lsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan,OECD 453,in vivo,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,"increased food intake was found in high-dose males. mean body weight decreases were observed to be transient during the study except for consistent significant decreases of up to 10% in high-dose females. sporadic changes such as slight changes in protein, glucose, bilirubin, triglyceride, and blood urea nitrogen found in the first 52 weeks of the study had disappeared by 78-104 weeks. slight changes in erythroid parameters were sporadic. decreases in monocytes and white blood cells in F and increased clotting time in males was observed at 104 weeks. absolute adrenal weights were increased in mid-dose males; absolute brain weights were decreased in high-dose males; absolute and relative ovary weights were increased in high-dose females; absolute and relative spleen weights were decreased in mid-dose females, and relative spleen weights were decreased in high-dose females at 104 weeks. hepatocyte hypertrophy and hepatocytic inclusions (hyaline-staining) were occasionally noted in male rats at early time points but were not seen at 104 weeks. no other histological lesions, either neoplastic or non-neoplastic, were observed that were considered to be treatment-related. specifically, there were no treatment-related tumours, including hepatic tumours, in any of the treated rats examined histologically at 52 or 104 weeks. animals in the additional high-dose group killed at 52 weeks (247 or 422 mg/kg bw/d in males and females, respectively) showed similar types of toxicity as the main study animals, excepting that the severity or incidences of events were increased. no tumours were observed in these animals",,,,"in summary, the results show that triclosan is not tumourigenic in a 2-year study in rats at doses of up to 127 mg/kg bw/d in males and 190 mg/kg bw/d in females. a noel of 1,000 ppm was determined (48 mg/kg bw/d for females and males combined). sccp considers the noael as 12 mg/kg bw/d due to haematoxicity and decreased absolute and relative spleen weights (mid dose females).",,,,,,,,,rat/sprague dawley,,,f &m,,120,"0, 12, 40, 127, 247 mg/kg bw/d in males and 0, 17, 56, 190, 422 mg/kg bw/d in fem",repeated for 104 weeks,diet,,,,,104 weeks,20/ dose or 40/ dose control group 52-weeks interim in high-dose,,,1986,yes,67,ciba-geigy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan,OECD 451,in vivo,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,"survival was significantly decreased in males and was generally poor (38-58%) in females at 90 weeks. body weight gain was significantly decreased in all high-dose hamsters and was accompanied by a slight (3%), but significant decrease in food consumption in high-dose females. biochemical changes observed at termination included increases (<50%) in blood urea nitrogen in high-dose hamsters and in triglycerides in mid- and high-dose males. haematological changes observed included slight (<15%), but significant decreases in erythroid parameters in mid- and high-dose animals, increased white blood cells in high-dose animals, and increased lymphocytes in high-dose females at termination. significant observations at 52 weeks (interim) were mainly renal changes in high-dose animals. at termination, renal nephropathy was observed in animals of all dose groups, with increased  incidence and severity at the high-dose level. in addition, males showed atypical hyperplasia in the stomachs (fundic region), along with spermatozoa and germ cell effects at the high dose. one high-dose female showed atypical hyperplasia in the fundic region that was considered to be treatment-related. high-dose females showed distended gastric glands and a few treated females of all doses showed benign papillomas of the non-glandular region of the stomach (not discussed in report). hepatic effects were few, with only rarified hepatocytes reported in a few male animals (6/60 in high dose vs. 3/121 in controls). there were no tumours considered to be treatment-related.",,,,"in summary, triclosan had little to no effect in hamsters at 12 and 75 mg/kg bw/d, and toxic effects at 250 mg/kg bw/d that resulted in the general deterioration of highdose males after week 80. overall results show that triclosan is not tumourigenic in hamsters at doses of up to 250 mg/kg bw/d. however, survival in females at 90 weeks was poor. noael=75 mg/kg bw/d.",,,,,,,,,hamster/syrian,,,f & m,,120,"0, 12, 75, 250 mg/kh bw/d",,,,,,,"males: 95 weeks, females; 90 weeks",+ 10/sex/ dose (52- week interim),,,1999,yes,68,huntingdon life sciences. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc red n° 3,non OECD,in vitro,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"syrian hamster embryo cell (she) assay. guideline: /, species/strain: cryopreserved syrian hamster embryo cells isolated on gestation day 13, replicates: 300 target cells on 6x104 feeder cells. test substance: hc red n° 3, batch: /, purity: /, vehicle: dmso
concentrations: 16 – 600 µg/ml, treatment assay terminated after 7 days. the test was performed in two different laboratories. positive control: benzo(a)pyrene. 18 chemicals were tested, glp: /, study period: before 1988. test system: fibroblasts isolated from syrian golden hamster embryos on gestational day 13 were used in a cellular transformation assay. test procedure: hc red n° 3 was evaluated for cellular transformation capability using the syrian hamster embryo cell (she) assay. two independent laboratories tested hc Red n° 3 at five dosage levels up to 500 and 600 μg/ml, respectively. duplicate assays utilizing a pH 7.4 culture protocol were performed for a duration of 7 days. benzo[a]pyrene (B[a]P) was included as a positive control. a positive transformation response was determined using strict morphological guidelines. the transformation activity was determined by pooling the data for the same dose level in both assays. the response was first determined within each laboratory, then between the laboratories. a positive assay response was defined as a three-fold elevation over the control level of transformation at two or more doses in at least two assays. results: hc red n° 3 did not induce transformation at any dosage level in the high pH she assay in either laboratory. ref.: 23, subm 1"
