dossier ,guideline ,PDF link ,method of analysis/ method of detection,observations,moribound animal,corrosivity,"grading of lesion,  irritation response scores ( IVIS, ICE class, irritation index)",cell viability,optical density,IL-1α concentration,systemic effects,"corneal swelling, opacity and fluorescein retention",opacity and permeability,membrane barrier penetration,skin impedance TER,dye binding assay data,results,conclusion,homogeneity and stability ,pH,physical form ,"treatment(grinding, wetting )",particle size,concentration (%),composition,purity (%),direct interaction with MTT,coloring of tissue,solubility in vehicle,chemical batch nr,additional info,0,species/strain,source,age at start of experiment,"age measuring unit (day, week, month, year)",sex,weight,"weight measuring unit (gram, kilogram)",feed,n animals / group,test system,"test system details ( source, stored prior to use, wetting, treatment, strain, pre-, age at sacrifice)",replicates /condition,cell design,receptor fluid,viability,barrier function,morphology,quality control,calibration,proficiency,TER measurement,"measuring system ( uplc/hplc-spectrophotometer,….)",age at sacrifice,in silico,dose level,unity ( or extra information),dose volume (mL),administration / application scheme,route of exposure,use of anaesthesic/analgesic,"patch system ( open, semi-occluded, occluded)",skin condition,exposed area (cm2),exposure time/ time point ,"exposure unity (seconde,,minute,hour, day) and extra information ",observation period (day),scoreing times/sampling franctions,application scheme,treatment period,treatment period time unity ,temperature during treatment period(°C),humidity,temperature during post-treatment(°C),post treatment incubation time,post treatment incubation medium,rinsing ,vehicle name ,vehicle concentration %,procedure,additional info,year,GLP,SCCS comment to test,Ref. in dossier,preliminary study ,Klimisch score,control groups,additional information,own comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-nitrophenyl aminoethylurea,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_036.pdf   ,,in one of the rabbits there was a slight erythema at 1 h after patch removal. no other reaction was observed at any other time point.,,,,,,,,,,,,,,"under the conditions of the study, nitrogelb was not irritant to rabbit skin.",,,,moistened with water ,,,,97.5,,,,b1/89,test substance: nitrogelb ,in vivo,rabbit/new zealand white,,m,,,,,,3,,,,,,,,,,,,,,,,0.5,g,,single,dermal,,"semi-occluced, the treated area was covered with gauze and micropore tape and then loosely bound with an elastic bandage.",clipped dorsal skin,6.25,4,h,,"1, 24, 48 and 72 h after patch removals",,,,,,,,,,distilled water,,,,,yes,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-nitrophenyl aminoethylurea,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_036.pdf   ,,"no corneal lesions were noted at any reading. a slight iritis was noted in 2 animals 24 h after application, which had resolved at 48 h. slight to moderate conjunctival erythema was noted in all animals at up to 48 h and up to 72 h in 2 animals. at 7 days, no abnormality was observed.",,,,,,,,,,,,,,"under the conditions of the study, nitrogelb was irritant to rabbit eyes.",,,,,,,,97.5,,,,b1/89,test substance: nitrogelb ,in vivo,rabbit/new zealand white,,m,,,,,,3,,,,,,,,,,,,,,,,100,mg,,"single, instilled into the right conjunctival sac",occular,,,,,,,,"1, 24, 48 and 72 h after application and at day 7",,,,,,,,,no,,,,,,yes,,19,,,the left eye served as the control. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-amino-6-chloro-o-cresol,OECD 404,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_005.pdf    ,,"animals were examined for signs of erythema, eschar and oedema formation. no reaction was seen at any time point.",,,,,,,,,,,,,,"under the conditions of the study, the undiluted test substance was neither irritating nor corrosive when applied to the intact rabbit skin under semi-occlusive patch conditions.",,,,test substance moistened with 0.7ml  milli-u water,,,,99.6,,,,5a6cocd0131,test substance: a094 / sat 030633,in vivo,"rabbit/albino, new zealand white (spf-quality) ",,m,,,,,,3,,,,,,,,,,,,,,,,0.5,g,,single,dermal,,semi-occluced,"approximately 24 hours prior to the treatment, the dorsal fur was shaved, to expose an area of about 150 cm2 ",6,4,h,,"1, 24, 48 and 72 after exposure",,,,,,,,,,milli-u water,,,,2003,yes,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-amino-6-chloro-o-cresol,OECD 405,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_005.pdf    ,,"the instillation of the undiluted a094 into the eyes resulted in effects on the cornea, iris and conjunctivae. the corneal injury consisted of opacity (maximum grade 1) and epithelial damage (maximum 55% of the corneal area). the corneal injury had resolved within 24 hours in one animal, and within 7 days in the other animals. Iridial irritation grade 1 was observed in one animal only 24 hours after instillation. the irritation of the conjunctivae consisted of redness and chemosis and had completely resolved within 7 days in two animals and within 14 days in the other animal.",,,"opacity: grade 1, epithelial damage: 55% of the corneal area, iridial irritation: grade 1",,,,,,,,,,,"under the condition of this experiment, a94 was irritant to rabbit eyes however, did not fulfil the eu criteria for classification as eye irritant (r36).",,,,,,,,99.6,,,,5a6cocd0131,test substance: a094 / sat 030633,in vivo,"rabbit/albino, new zealand white (spf-quality) ",,m,,,,,,3,,,,,,,,,,,,,,,,38.3 ,mg,0.1,single,"occular, instillation in the conjunctival sac ",,,,,24,h,,"1, 24, 48, 72 hours and 7 and/or 14 days after instillation",,,,,,,,,yes   with warm tap water,,,,,2003,yes,,6,,,the other eyes served as controls. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acid black 1,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_018.pdf   ,,"none of the 6 animals showed signs of irritation, neither after immediate reading nor after 72 hours. ",,,,,,,,,,,,,,"under the conditions in this experiment, the test substance (10% acid black 1) is not irritant to rabbit skin. ",,8-10,solution,,,10,test substance in tap water ,,,,,,"test substance: acid black 1, pH adjusted with ammonia ",in vivo,"rabbit/albino, new zealand ",,m,,,,,,6,,,,,,,,,,,,,,,,10,% (w/v) ,0.5 ml,single,dermal,,"occlusive patches, which were secured to the skin",clipped on the back 24 hours prior to the test,,2,h,,"24, 48 and 72 hours ",,,,,,,,,,tap water,,,,1982,,"it is not reported if any staining of the skin affected the evaluation. no explanation was given for the pH adjustment. the batch and the purity of the test material were not identified, but it was mentioned that the sponsor of the study supplied the test material as 100% pure.",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acid black 1,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_018.pdf   ,,"no irritation reactions of cornea, iris and conjunctiva were observed.",,,,,,,,,,,,,,acid black 1 at 5% (w/v) concentration is not irritating to eye.,,8-10,,,,5,test substance in tap water ,,,,,,"test substance: acid black 1, pH adjusted with ammonia",in vivo,"rabbit/albino, new zealand ",,m,,,,,,6,,,,,,,,,,,,,,,,5,% (w/v) ,0.1 ml,"single,  applied in the conjunctival sac of the right eye of each animal. ",occular,,,,,,,,"1, 24, 48 and 72 hours ",,,,,,,,,no,tap water,,,,1982,,"no explanation was given for the pH adjustment. the batch and the purity of the test material were not identified, but it was mentioned that the sponsor of the study supplied the test material as 100% pure.",3,,,the left eye remained untreated and served as reference control. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,"erythema reactions were only observed in the highest dose group (4/10 positive responses) at 24
hours post-application. no positive responses were reported at 48 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,in vivo,guinea pig/pirbright white (spf),,,,,,,,,,,,,,,,,,,,,,,,"0.1, 0.5, 1, 5 ",%,0.1,single,dermal,,,shaven back,2,,,,,,,,,,,,,,,,,,1978,no,"this study suggests that triclosan is not a skin irritant at concentrations below 5%, and the erythema reactions are reversible. ",7,,,,thomann and maurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,erythema reactions were observed at 24 h after the start of exposure [3/6 positive responses in intact skin; 5/6 positive in abraded skin]. oedema reaction at 24 h was positive in 1/6 animals. erythema reactions improved at 72 h. triclosan did not induce corrosion effects. triclosan was classified as a moderate irritant based on an overall score of 3.58 (irritance scores of greater than 6 would have been considered “severe”).,,no,"erythema: intact skin mean score: 2.5,  abraded skin mean score 2.8; eythema after 72h: mean scores 1.3 intact skin, abraded skin 2.5. overall score: 3.58",,,,,,,,,,,,,,,,,,,,,,,,,in vivo,rabbit/russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,dermal,,occlusive gauze patches soacked with triclosan,shaved intact and abraded skin on backs and flanks,2.5,24,,,,,,,,,,,,,,,,,1975,no,the study shows that  the erythema reactions are reversible. ,6,,,,sachsse and ullmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan ,OECD 404,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,"dermal irritation such as erythema was observed at the site of application. oedema, fissuring, eschar was observed at the 2 highest doses which correlated with hyperkeratosis. acanthosis was also observed in males at 1.5 mg/d. the liver showed dose-related increase in absolute and relative liver weight in females at 1.5 and in both sexes at 3.0 and 6.0 mg/d. this increase associated with centrilobular hypertrophy. mononuclear infiltrate was also observed but only at the high dose. the noael is considered to be 0.6 mg/d. this corresponds to 24 mg/kg bw per day ",,,,,,,,,,,,,moderate to severe skin irritation,,,,,,,"0, 0.3, 0.6, 1.5, 3, 6",,,,,,,,,mouse/cd-1,,,,,,,,,,,,,,,,,,,,,,,,"0, 0.3, 0.6, 1.5, 3.0, 6.0", mg/animal/d,0.1,repeated once daily for 14 days,dermal,,,dorsal area,2*3,,,,,,,,,,,,,,acetone,,,,1997,yes,"these dermally-applied doses correspond to systemic doses of approximately 12, 24, 60, 120, or 240 mg/kg body weight/day for a 25 g mouse (triclosan concentrations of 0.3, 0.6, 1.5, 3, and 6 % in 0.1 mL application volume). the triclosan was applied to a 2 x 3 cm2 hairless area on the dorsal side of the animal. appropriate untreated and vehicle controls were used. as these were dose range finding studies, although glp-compliant, they were not entirely compliant with oecd guidelines for dermal studies (clinical chemistry, haematology, or urinalysis investigations were not conducted, and macroscopic and microscopic evaluations were limited). both mouse studies showed similar dose-related dermal and liver findings such as dermal irritation, increased liver weight, coagulative necrosis and centrilobular hypertrophy. dose-related dermal findings started at 1.5 mg / animal / day (60 mg/kg bw/d) for triclosan in propylene glycol and at 3.0 mg / animal / day for triclosan in acetone vehicle. liver effects were observed in animals treated with dermal doses of ≥ 1.5 mg / animal / day (≥ 60 mg/kg bw/d). the noael is 24 mg/kg bw/d. in summary, these 3 rodent dermal studies revealed a similar pattern of toxicity with respect to dose-related dermal irritation and hyperkeratosis at the site of application. in addition, liver-related effects such as increased organ weight associated with centrilobular hypertrophy were observed in both mouse studies but not in the rat, indicating a species difference in response to triclosan. the noael was determined to be 0.6 mg/day (24 mg/kg body weight/day) in both mouse studies, based on liver effects observed at doses of ≥ 1.5 mg / animal / day. the noael in the rat study was determined to be 3.0 mg / animal / day (12 mg/kg bw/day), based on dermal irritation at the highest dose of 6.0 mg / animal / day.",8,,,,burns 1997a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan ,OECD 404,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,"dose-related dermal irritation was observed at the site of application starting at 1.5 mg/d. dose-related increases in absolute and relative liver weights in both sexes at 6.0 mg/d and in males at 0.3, 1.5 and 3.0 mg/d. centrilobular hypertrophy at doses ≥1.5 mg/d. the statistical increase in male liver weights at 0.3 mg/d was not correlated with any histopathology changes. the noael is considered to be 0.6 mg/d. this corresponds to 24 mg/kg bw per day",,,,,,,,,,,,,,,,,,,,"0, 0.3, 0.6, 1.5, 3, 6",,,,,,,,,mouse/cd-1,,,,,,,,,,,,,,,,,,,,,,,,"0, 0.3, 0.6, 1.5, 3.0, 6.0
",mg/animal/d,0.1,repeated once daily for 14 days,,,,dorsal area,2*3,,,,,,,,,,,,,,propylene glycol ,,,,1996,yes,"these dermally-applied doses correspond to systemic doses of approximately 12, 24, 60, 120, or 240 mg/kg body weight/day for a 25 g mouse (triclosan concentrations of 0.3, 0.6, 1.5, 3, and 6 % in 0.1 mL application volume). the triclosan was applied to a 2 x 3 cm2 hairless area on the dorsal side of the animal. appropriate untreated and vehicle controls were used. as these were dose range finding studies, although glp-compliant, they were not entirely compliant with oecd guidelines for dermal studies (clinical chemistry, haematology, or urinalysis investigations were not conducted, and macroscopic and microscopic evaluations were limited). both mouse studies showed similar dose-related dermal and liver findings such as dermal irritation, increased liver weight, coagulative necrosis and centrilobular hypertrophy. dose-related dermal findings started at 1.5 mg / animal / day (60 mg/kg bw/d) for triclosan in propylene glycol and at 3.0 mg / animal / day for triclosan in acetone vehicle. liver effects were observed in animals treated with dermal doses of ≥ 1.5 mg / animal / day (≥ 60 mg/kg bw/d). the noael is 24 mg/kg bw/d. in summary, these 3 rodent dermal studies revealed a similar pattern of toxicity with respect to dose-related dermal irritation and hyperkeratosis at the site of application. in addition, liver-related effects such as increased organ weight associated with centrilobular hypertrophy were observed in both mouse studies but not in the rat, indicating a species difference in response to triclosan. the noael was determined to be 0.6 mg/day (24 mg/kg body weight/day) in both mouse studies, based on liver effects observed at doses of ≥ 1.5 mg / animal / day. the noael in the rat study was determined to be 3.0 mg / animal / day (12 mg/kg bw/day), based on dermal irritation at the highest dose of 6.0 mg / animal / day.",9,,,,burns 1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan ,OECD 404,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,"dose-related skin irritation such as erythema was observed at 6.0 mg/d, with findings in 1 animal at 1.5 mg/d considered incidental. other related signs of skin irritation such as eschar, oedema were also noted. histopathology of the erythema, scaling and eschar showed acanthosis and hyperkeratosis at the highest dose. gross pathology revealed dark areas of the liver noted in a few treated animals (not dose-related); however, no change in organ weight was observed and no histopathology accompanied this gross finding. the noael was estimated by investigators to be 3.0 mg/animal/d equivalent to 12 mg/kg bw per day. ",,,,,,,,,,,,,,,,,,,,"0.1, 0.2, 0.5, 1, 2",,,,,,,,,rat/crl:cdbr,,,,,,,,,,,,,,,,,,,,,,,,"0, 0.3, 0.6, 1.5, 3.0, 6.0
",mg/animal/d,0.3,repeated once daily for 14 days,,,,dorsal area,2*3,,,,,,,,,,,,,,acetone,,,,1997,yes,"in rats, a similar dose range finding study was conducted using an acetone vehicle. dermally-applied doses of 0.3, 0.6, 1.5, 3.0, or 6.0 mg/day in the rat study correspond to systemic doses of approximately 1.2, 2.4, 6, 12, or 24 mg/kg body weight/day for a 250 g rat (triclosan concentrations of 0.1, 0.2, 0.5, 1, and 2 % in 0.3 mL application volume). skin irritation such as erythema was observed at 6.0 mg/day, with findings in one female animal at 1.5 mg/day considered to be incidental. other related signs of skin irritation such as eschar, and oedema were also noted. histopathology of the erythema, scaling, and eschar showed acanthosis and hyperkeratosis at the highest dose. gross pathology revealed dark areas of the liver in a few treated animals (not dose-related); however, no change in organ weight was observed and no histopathology was associated with the gross pathology findings. in summary, these 3 rodent dermal studies revealed a similar pattern of toxicity with respect to dose-related dermal irritation and hyperkeratosis at the site of application. in addition, liver-related effects such as increased organ weight associated with centrilobular hypertrophy were observed in both mouse studies but not in the rat, indicating a species difference in response to triclosan. the noael was determined to be 0.6 mg/day (24 mg/kg body weight/day) in both mouse studies, based on liver effects observed at doses of ≥ 1.5 mg / animal / day. the noael in the rat study was determined to be 3.0 mg / animal / day (12 mg/kg bw/day), based on dermal irritation at the highest dose of 6.0 mg / animal / day.",10,,,,"burns, 1997b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,"the histological structure of the mucosa of the triclosan-treated animals (group 3) was similar to that of the control specimens. structural changes, including basal hyperplasia, acanthosis, hypergranulosis, and orthokeratotic hyperkeratosis, were present in animals treated with sls, or with sls and triclosan. no signs of inflammation were observed in the subepithelial connective tissue. ",,,,,,,,,,,,,,the results of this study show that the application of triclosan in a paste (0.3% triclosan) does not result in mucosal irritation in the hamster cheek pouch.,,,,,,0.3,"group 1: 1.5% sls, group 2: 1.5%sls + 0.3% triclosan, group 3: 0.3% triclosan in paste",,,,,,test substance: triclosan,,hamster/syrian golden ,,,,,,,,,,,,,,,,,,,,,,,,1 to 6,%,,4 application at 24-hour intervals,dermal,,,right cheek pouch,1,15,s,,,,,,,,,,,,,,,,1996,no,,14,,,group 1: 1.5% sls only ,baert et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan,OECD 405,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,,,,,,,,,,,,,,slight eye irritation,"based on mean irritation scores in the cornea, iris, and conjunctiva, triclosan was found to cause slight primary eye irritation when applied to the rabbit eye mucosa.",,,solid,,,,,100,,,,,,,rabbit/new zeland white,,,,,,,,,,,,,,,,,,,,,,,,0.1,g,,"single,  applied in the conjunctival sac of the left eye of each animal. ",eye,,,,,,,,"day 1, 2, 3, 4, 7",,,,,,,,,,,,,,1980,yes,,15,,,control: right eye,ullmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triclosan,non OECD,https://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_166.pdf,,"triclosan at concentrations of 1, 2, 5, and 10% produced only slight to moderate reddening of the conjunctiva as observed 2 hours after exposure, with recovery within 24 hours. triclosan at a 20% concentration caused reddening and slight swelling of the conjunctiva as observed 24 hours after the start of exposure. the undiluted (pure) triclosan caused fully reversible eye irritation effects, as observed in rinse experiments, with a return to normal eye state between 7 and 11 days after exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,rabbit,,,,,,,,,,,,,,,,,,,,,,,,"1, 2, 5, 10, 20, 100","% in gum arabic ( 1,2,5,10,20) /undiluted (100)",,,,,,,,2 or 4,s,24h / 11 days,,,,,,,,,,with and without rinsing,,,,,1969,no,,16,,,,lyman and furia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc red n° 17,"in vitro episkinSM skin irritation test, ecvam validated protocol (esac statement 2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$,,,,,2012,yes,,"1, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc red n° 3,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,,,,,,,,,,,,,,,,no irritant under these test condition,,,liqui ( aqueous slurry),,,,,,,,,,test substance: hc red #3,in vivo,rabbit/new zealand white,,,,f & m,,,,"6 ( 4 m, 2 f)",,,,,,,,,,,,,,,,500,mg applied as aqueous slurry,,,dermal,,open,shaved intact skin,1 square inch,not specified,,,24 and 72h post application ,,,,,,,,,,,,,,1987,no,"none of the experiments followed a guideline and the specifications of the test substance were not described. curiously, the 3% aqueous solution caused some irritation in one experiment while the slurry caused no irritation to rabbit skin. a 3% preparation in ‘schultz vehicle’ caused no irritation. ",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc red n° 3,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,,slight erythema of the scarified (abraded) and intact skin 30 minutes after application. ,,,,,,,,,,,,,,hc red #3 non-irritating under these test conditions. skin alterations were not observed after 24 hours. ,,,liquid,,,3,,,,,,geb.3,,in vivo,rabbit/new zealand white,,,,,,,,6,,,,,,,,,,,,,,,,,,0.5,,dermal,,occluded,"shaved intact skin right side, abraded skin on the left",,4,h,,"30 and 60 minutes, 24, 48, 72 h post application",,,,,,,,,,water,,,,1983,no,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc red n° 3,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_043.pdf,,no evidence of oedema or erythema at the scoring intervals.,,,,,,,,,,,,,,hc red #3 was non-irritating under these test conditions ,,,,,,3,,,,,,,test substance: rm148 (not identified as hc red n° 3 in the study),in vivo,rabbit/new zealand white,,, ,f & m,,,,"6 ( 2 m, 4 f)",,,,,,,,,,,,,,,,,,0.5,applied every 24 hours for 3 consecutive days to a single test site,dermal,,open,shaved intact skin,1 square inch,,,,"24 hours after each application, each test site was rinsed and scored for irritation and the test material reapplied. irritation was scored at 24, 48 and 72 hours following the first application. ",,,,,,,,,"yes, after eacj application",schultz vehicle ,,,,1983,no,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
