dossier,OECD guideline,type of study,pdf link,clinical examination,microscopic finding,gross pathology,dose descriptor ,dose descriptor unit,moribund or dead animals prior to study termination ,mortality rate,conclusion,homogeneity and stability,treatment prior to application,pH,solid,solubility in vehicle,liquid,aerosol/dust/vapour,"particle size, shape and density distribution",concentration (% nominal and actual),composition,purity (%),chemical batch nr,additional info,species/strain,source,age value at start of experiment ,"age unit (day, week, month, year)","sex (female, male)",weight,"weight measuring unit (gram, kilogram)",feed,n animals / dose,dose levels,dose level unit ( or extra info),administration scheme,"oral (gavage, drink water, feed)",dermal,body surface area,"patching technique ( open, semi-occluded, occluded)",skin condition and region,"inhalation (nose (head) -only, whole body)",occular,other,dose volume ml/kg bw,rinsing procedure,use of anaesthetics and analgesics,vehicle name,vehicle concentration %,exposure time (hour),observation period (day),SCCS comment to test,year,control groups,GLP,preliminary test,Klimisch score,Ref. in dossier,additional information,own comments
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"846, 591","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance: sopp,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,78,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"857, 812 ","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance:sopp produced by dow chemicals ,mouse,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,206,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"1018, 683","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance: sopp produced by tokyo kasei co,mouse,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,206,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"2573, 2118","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance: popp,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,14,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,> 2000,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: opp,rat,,,,f & m,,,,,,,,,yes,,,,,,,,,,,,,,the acute dermal toxicity of opp and popp is low. ,,,,,,16,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,> 5000,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: opp,rabbit,,,,f & m,,,,,,,,,yes,,,,,,,,,,,,,,the acute dermal toxicity of opp and popp is low. ,,,,,,23,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,> 2000,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: popp,rat,,,,f & m,,,,,,,,,yes,,,,,,,,,,,,,,the acute dermal toxicity of opp and popp is low. ,,,,,,15,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,, > 949,lc0 mg/m3,,,,,,,,,,aerosol,,,,,,test substance: opp,rat,,,,m,,,,,,,,,,,,,yes,,,,,,,,1,,the acute inhalation toxicity of opp and sopp is moderate.,,,,,,161,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,> 36,lc50 mg/m3,,,,,,,,,,vapour,,,,,,test substance: opp,rat,,,,f & m,,,,,,,,,,,,,yes,,,,,,,,4,,the acute inhalation toxicity of opp and sopp is moderate.,,,,,,149,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,> 1331,lc50 mg/m3,,,,,,,,,,aerosol,,,aerosol dissolved in water ,,,test substance: sopp,rat,,,,m,,,,,,,,,,,,,yes,,,,,,water,,1,,the acute inhalation toxicity of opp and sopp is moderate.,,,,,,161,,
o-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,,,,"1,052",ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: 1-hydroxy-2-aminobenzene,rat/ofa,,,,f & m,,,,10,"500, 1000, 1250, 2000, 2500",mg/kg bw,,yes,,,,,,,,,,,carboxymethylcellulose,1,,,,,,,,,1 (subm. 1),,
o-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,methaemoglobin concentration was less than 10% of all haemoglobin,,,1.3,ld50 mg/kg bw,yes,death occurred within 1 to 48 hours of dosing,,,,,,,"yes, suspension ",,,5,,,,,rat,,,,,,,,,,,,yes,,,,,,,,,,,starch solution,3,,,,,,,,,1-5 (subm. 5),,
o-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,,,,"1,295",ld50 mg/kg bw,,,,,,,,,,,,,,,,,mouse,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,"2,4,6 (subm. 5)",,
"n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine",non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_196.pdf,"skin and mucosa showed discolouration, no clinical signs were observed and the weight gain was normal.",,,,,no,,,,,,,,"yes, suspension ",,,50,test substance suspension in the vehicle ,,,"test substance: N,N’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine",rat/bor: wisw wistar,,,,f & m,,,,10,5,g/kg bw,single,yes,,,,,,,,,,,distilled water,,,,,,,,"in a dose-range finding study, 2 females per dose group were treated with 1, 2.5 and 5 g/kg bw of the test substance and no mortalities were observed.",,"3, submission 2",taken from sccnfp/0781/04,
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (s87),non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no acute toxicity study was performed on c-1701 b_c_3. however, in the existing 14-day and 90-day oral toxicity studies where c-1701 b_c_3 was administered at dose levels of 100, 300 and 1000 mg/kg/d in rats, c-1701 b_c_3 did not induce any deaths. hence, it can be assumed that the oral ld50 would be higher than 1,000 mg/kg/d (i.e. the substance is of low acute oral toxicity).",,,,,,,,
hydroxyethyl-p-phenylenediamine sulfate ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_017.pdf,"20 minutes after administration, the test compound caused moderate sedation and ataxia. ",,no changes were observed in organs. ,150; 90 ,ld50 mg/kg bw in rat; mouse,,,the substance was considered to be moderately toxic.,,,,,,yes,,,1.0,aquous solution ,,,test substance: hydroxyethyl-p-phenylenediamine dihydrochloride ,rat/wistar (spf); mice/cf1 (spf) ,,,,f & m; f,"≈187, 194;  ≈26",g,,10,"50, 100, 200, 300, 400;  50, 100, 150",mg/kg bw/day ,single,yes,,,,,,,,,,,,,,14,the experiment was not performed in compliance with guidelines. it was performed with the dihydrochloride instead of the sulfate salt.,,,no,,,17,taken from sccp/1124/07. 2 species.,
hc yellow n°9,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf,,no histological examinations were performed.,at autopsy congestion and oedema of the lungs and oedema of the peritoneal cavity were reported in rats dying during the study period. no abnormalities were detected in animals sacrificed on day 14. ,"745, 1609 ","ld50 mg/kg bw in male, female",yes,"mortalities occurred in all dose groups within 1 hour of treatment. numbers of deaths were 2, 4, 5, 5, 5 males and 1, 1, 1, 3, 3 females at 700, 910, 1180, 1540 and 2000 mg/kg bw, respectively",,,,,,,"yes, suspension ",,,,test substance suspension in the vehicle,,dg1,test substance: hc yellow n° 9 ,rat/sprague dawley ofa (spf),,,,f & m,,,,10,"700, 910, 1180, 1540, 2000",mg/kg bw ,single,yes,,,,,,,,,,,aqueous carboxymethylcellulose,1,,14,,,,no,,,1 (subm. 2),taken from sccnfp/0680/03,
hc yellow n° 2,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,,,,,yes,"at the low dose no mortalities were observed, at the mid dose no deaths were seen in the males while 3 of 5 females died within 8 h after dosing, at the high dose all animals died.",,,,,,,"yes, suspension ",,,10,,,,test substance: hc yellow n° 2 ,rat/sprague-dawley,,,,f & m,,,,10,"625, 1250, 2500",mg/kg bw,single,yes,,,,,,,,,,,acacia,3,,,the study did not follow modern standards. no data on the test substance were provided,1987,,no,,,2,,
"hydroxyethyl-3,4-methylenedioxyaniline HCl",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_006.pdf,,"decreased activity immediately after the application, staggering, piloerection and exitus (only as statement in the result section (no actual data reported).","at necropsy, no macroscopic organ changes were noted.","1550, 1650; 850","ld50 mg/kg bw in rat male, rat female; mouse female",yes,animals died within 2-72h after substance administration.,the following LD50 values were calculated using the method ofsSpearman-karber.,,,,,,"yes, suspension ",,suspension test substance in vehicle,10,test  substance suspended in the vehicle (10% in a 10 % gum) ,,,"test substance: 1-β-hydroxyethyl-3,4-methylenedioxybenzene  arabic solution ",rat/wistar crl: wi/br;  mouse/cf1,,,,f & m; f,,,,10; 10,"1000, 1500, 2000, 2500;  500, 750, 1000, 1250 ",mg/kg bw ,single dose,yes,,,,,,,,,,,gum arabic solution,10,,14,,,,no,,,16,guideline: but resembles oecd 401. 2 species,
"2,6-diamino-3-((pyridin-3-yl)azo)pyridine ",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_065.pdf,"a general malaise including tremors, pale skin, dyspnoea, piloerection, excess salivation and lacrimation and possibly diarrhoea. these were considered vagotonic effects. the pinna and eyeballs were stained yellow in most animals at all doses. urine was also discoloured. these effects lasted up to 6 days in the surviving animals. ","haemorrhaging with major vascular ruptures were seen in many organs, possible causes of the small spleen and small thymus. enlarged spleens in surviving animals were considered to be due to reactive haematopoiesis. large lymph nodes may be due to reactive antigen penetration through damaged intestinal walls. no indication for impaired blood coagulation was noted. yellow/orange staining of the intestine and subcutaneous fat other fat was noted. there are no differences between the sexes. ",,789,ld50 mg/kg bw,yes,"at 346 mg/kg bw (male & female), mortality: no deaths. at 600 mg/kg bw (male & female), mortality: 3/5 on application day of each sex. at 1039 mg/kg bw (female), mortality: 2/5 females first day of dosing. at 1800 mg/kg bw (female), mortality: all died on application day. ",,,,,,,,,,,test substance suspended in the vehicle,> 98,l6/186 ,test substance: da 100491,"rat/sprague dawley, him:ofa, spf ",,,,f & m,,,,10,"346, 600, 1039, 1800  ",mg/kg bw,single dose,yes,,,,,,,,,,,aqueous solution of carboxymethylcellulose,0.5,,14,,1993,,yes,,,13,"guideline: ec guideline 92/69, method b.1., 31 July 1992. the two lower doses were given to 5 males and 5 females each, whereas the two higher doses were only given to 5 females. ",
2-amino-4-hydroxyethylaminoanisole sulfate,non OECD,in vivo ,https://ec.europa.eu/health//sites/health/files/scientific_committees/consumer_safety/opinions/sccs_o_003.pdf,"clinical signs noted were tonic spasm, piloerection, higher respiration rate in both rats and mice, but it was unclear if these occurred at all doses. surviving animals appeared normal thereafter. weight gain was normal for the strain used.  animals died between the first 24 hours and 6 days after dosing. the mortality rates are summarised for the different groups.  based on the observed mortality, the following LD50 figures were calculated by the method of spearman-kärber LD50 rat, female: 588 mg/kg bw, LD50 rat, male: 475 mg/kg bw, LD50 mouse, female: 538 mg/kg bw.","autopsy of the animals surviving up to day 14 were reported to be normal. at necropsy, no macroscopic organ changes/damages were noted. ",no histological examinations were performed.,"588, 475; 538","ld50 mg/kg bw in rat female, in rat male; in mouse female",yes,"at dosages of 375 mg/kg bw and above, deaths in mice occurred within 48h, whilst in rats the deaths occurred mainly after 4-5 days. mortality in rats and mice after a single oral application; mice female: dose [mg/kg bw] 250: 0/10, 375: 2/10, 500: 6/10, 625: 5/10, 750: 9/10, 875: 10/10. rats female: dose [mg/kg bw] 250: 0/5, 375: 2/5, 500: 2/5, 625: 4/5, 750: 5/5, 875: -. rats male: dose [mg/kg bw] 250: 0/5, 375: 3/5, 500: 4/5, 625: 5/5, 750: 5/5, 875: -.","based on these findings, 1-methoxy-2-amino-4-ß-hydroxyethylamino-benzene-sulphate is considered as moderately toxic to rats and mice with ld50 values in the range of 475 to 588 mg/kg bw.",,,,,,,,,,,,,test substance: 1-methoxy-2-amino-4-ß-hydroxyethylamino-benzene-sulphate.,rat/ wistar; mouse/strain cf1,,,,f & m; f,,,,10,"250, 375, 500, 625, 750 ; 250, 375, 500, 625, 750, 875 ",mg/kg bw rat; mouse,single,yes,,,,,,,,,,,aqueous preparation,10,,14,the studies are not up to modern standards but the results give an indication of the LD50 in both rats and mice.,,,no,"doses selected for this study were based on pre-tests. 5 rats/sex were tested at a single dose of 875 mg/kg bw, all of them died. in female mice (10 per dose 250, 875 and 1500 mg/kg bw), a median lethal dose of less than 875 mg/kg bw was found.",,15,taken from sccp/1172/08. 2 test species,
2-methoxy-methyl-p-phenylenediamine and its sulfate salt ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_123.pdf  ,,,,150 -->200,ld50 mg/kg bw (free base: 91.5 – 122.0 mg/kg bw),yes,,"no acute oral toxicity study was performed. based on the results from in vivo genotoxicity studies, the ld50 value of 2-methoxy-methyl-p-phenylenediamine sulphate is between 150 and 200 mg/kg bw in rats after gavage.",,,,,,,,,,,,,test substance: 2-methoxymethyl-p-phenylenediamine sulfate salt,rat,,,,,,,,,,mg/kg bw,,yes,,,,,,,,,,,,,,,the sccs noticed that the acute toxicity of 2-methoxy-methyl-p-phenylenediamine sulphate appeared at very low doses and at levels similar to sub-chronic exposure. no explanation was given,,,,"before an in vivo uds assay in rats (ref 54), a pre-test was performed. two male and 2 female rats treated orally with 100 mg/kg bw showed reduced motility, roughened fur and discoloured urine but no animal died. In a second experiment, 2 male and 2 female rats treated orally with 500 mg/kg bw showed clinical signs such as reduced motility, roughened fur, ventrolateral recumbence and discoloured urine and 1 male and 1 female died within 24 hours. in a third experiment, 2 male and 2 female rats treated orally with 200 mg/kg bw showed clinical signs such as reduced motility, roughened fur and discoloured urine and 1 rat died within 24 hours. in the last experiment, 2 male and 2 female rats treated orally with 150 mg/kg bw showed clinical signs such as reduced motility, roughened fur and discoloured urine but no rat died. ",,54,no study on acute toxicity was provided for 2-methoxy-methyl-p-phenylenediamine. the following details were taken from in vivo genotoxicity studies performed with 2-methoxymethyl-p-phenylenediamine sulfate.,
2-methoxy-methyl-p-phenylenediamine and its sulfate salt ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_123.pdf   ,,,,100 -->250,ld50 mg/kg bw,yes,,"no acute oral toxicity study was performed. based on the results from in vivo genotoxicity studies, the ld50 value of 2-methoxy-methyl-p-phenylenediamine sulphate is between 100 and 250 mg/kg bw in mice after i.p. administration ",,,,,,,,,,,,,test substance: 2-methoxymethyl-p-phenylenediamine sulfate salt,mouse,,,,,,,,,,mg/kg bw,,,,,,,,,intraperitoneal,,,,,,,,the sccs noticed that the acute toxicity of 2-methoxy-methyl-p-phenylenediamine sulphate appeared at very low doses and at levels similar to sub-chronic exposure. no explanation was given,,,,"before an in vivo micronucleus study in mice (ref 51), a pre-test was performed. two female mice treated i.p. with 2000 mg/kg bw died after 10 min. two other female treated i.p. at the dose of 250 mg/kg bw died after 6 hours. in a third experiment, 3 male and 3 female mice were treated i.p. at the dose of 100 mg/kg. no deaths were reported but signs of toxicity were observed in all animals. the mice showed palpebral closure and lethargy at least the first 6 h after treatment. before an in vivo comet assay in rats (ref 53), a pre-test was performed. three male rats treated by oral gavage with 2000 mg/kg bw died shortly after administration. three other male rats were treated by oral route at the dose of 200 mg/kg bw. two rats died within 19 hours after treatment. three other male rats were then treated at the dose of 100 mg/kg. no deaths were reported but signs of toxicity were observed in all animals. the rats showed reduced motility, roughened fur and discoloured urine. ",,"51, 53",no study on acute toxicity was provided for 2-methoxy-methyl-p-phenylenediamine. the following details were taken from in vivo genotoxicity studies performed with 2-methoxymethyl-p-phenylenediamine sulfate.,
4-amino-2-nitrodiphenylamine-2'-carboxylic acid,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_058.pdf ,body weight gain for surviving animals was considered normal for the age and strain of rat. ,no histological examinations were performed.,"macroscopic examination of main organs was performed at autopsy. autopsy observations were discoloration of the intestines, subcutis and muscles and lung oedema. no abnormal findings were reported at scheduled autopsy.",> 2000,ld50 mg/kg bw,yes,there was one death in the male group which was assumed to be treatment-related (time after dosing not specified). ,the ld50 was reported to be greater than 2000 mg/kg bw. ,,,,,,,,,,,98,2495/127,test substance: ro 1082,rat/wistar albino ,,,,f & m,,,,9,2000,mg/kg bw,single,yes,,,,,,,,,,,aqueous solution of carboxymethylcellulose +  cremophor,1 +  0.5,,14,,1987,,yes,,,6,"taken from sccnfp/0658/03, animals: 5 males + 4 females",
4-chlororesorcinol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_016.pdf  ,"signs of reaction to treatment observed shortly after dosing, included lethargy, piloerection and decreased respiratory rate. these signs were accompanied by fine body tremors in rats treated at 160, 250 and 400 mg/kg, by ataxia in female rats at 160 and 400 mg/kg and all rats at 640 mg/kg, and by loss of righting reflex and coarse body tremors in rats at 640 mg/kg. recovery of survivors, as judged by external appearance and behaviour was complete within two days of treatment. this observation was substantiated by normal body weight gains compared with controls and normal autopsy findings","autopsy revealed slight haemorrhage of the lungs, darkening of the liver, kidneys and spleen, and injection of mesenteric blood vessel",,369,ld50 mg/kg,yes,death occurred from within one to two hours of treatment.,the acute median lethal oral dose (ld50) and its 95% confidence limits to rats of 4- chlororesorcinol were calculated to 369 (314-433) mg/kg.,,,,,,yes,,,10,test substance solution in the vehicle,,,test substance: 4-chlororesorcinol,rat/cfy ,,,,f & m,95 - 122 ,g,starved overnight before treatment,10,"0, 160, 250, 400, 640",mg/kg bw,,yes,,,,,,,,1.6 --> 6.4 ,,,aqueous sodium sulphite ,0.05,,14,,1975,rats treated with the vehicle alone (6.4 ml/kg bw) served as controls,,the results of preliminary range finding tests indicated that the median lethal oral dose (ld50 was in the region of 250 to 640 mg/kg bw.,,3,,
4-nitrophenyl aminoethylurea,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_036.pdf  ,"in the main experiment clinical signs such as reduced activity and clonic-tonic spasms were noted in the mice at doses of 9000 and 11400 mg/kg bw within the first four hours after substance administration. in the rats, no clinical signs were observed","at necropsy, no macroscopic organ changes/damages were noted.",,"8, >8; 7.32","ld50  g/kg bw rat female, rat male; mouse female",yes,animals died within 2-24 hours (cf1 mice) and between 3 and 7 days (wistar rats) after substance administration. ,"the following ld50’s were calculated using the method of spearman-kärber: ld50 rat (female): 8 g/kg bw, ld50 rat (male): > 8 g/kg bw, ld50 mouse (female): 7.32 g/kg bw.",,,,,,"yes, suspension",,,,test substance suspended in vehicle,91.6,ch. l4/130,test substance: 1-(2-ureidoethyl)-amino-4-nitrobenzene,rat/wistar strain;  mouse/cf1 ,,,, f & m; f,,,,12; 10,"6000, 8000;  4200, 6600, 9000, 11400.",mg/kg bw rat; mouse,single,yes,,,,,,,,,,,gummi arabicum solution,10,,14,"although the study was not performed in compliance with glp, the results are considered valuable for the evaluation of the acute oral toxicity of the test substance.",,,no,,,16,"guideline: not indicated but in line with oecd 401. 2 tested species, 10 female mice per group, 12 male and female rats ( 6 male + 6 female)",
5-amino-6-chloro-o-cresol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_005.pdf   ,"at the day of administration repeated observations have been made. already at the lowest dose of 0.5 g/kg all animals had signs of reaction to treatment like apathy, staggering, accelerated breathing and prone position. later on the animals suffered from hampered breathing. the excreted urine was coloured yellow-orange.",,,1.36,ld50  g/kg,yes,no death occurred at a dose of 0.5 g/kg and one death at a dose of 1.00 g/kg. in the dose range of 1.25 to 1.99 g/kg 8 and 9 deaths respectively were observed. death occurred from within one to twenty four hours after treatment. ,"from these data, the acute median lethal dose (ld50) and its 95% confidence limits to rats of 2-chloro-6-methyl-3-aminophenol hydrochloride were calculated to 1.36 (1.21-1.54) g/kg.",,,,,,,,,2.5 --> 9.95 ,test substance dissolved in the vehicle,,,test substance: 2-chloro-6-methyl-3-aminophenol hydrochloride (ro 543),rat/tno-wistar,,,,m,200g,,starved 16h before and 3 h after treatment,10,"501, 1000, 1250, 1580, 1990",mg/kg bw,,yes,,,,,,,,20,,,aqua dest.,,,14,the test substance (ro543) used in the acute oral toxicity test is not fully characterised. the study was conducted prior to glp and the respective oecd guideline. only one sex was tested.,1992,,no,,,4,"20 animals for the 1250 mg/kg bw dose, all other doses 10 animals.",
acid black 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_018.pdf  ,"clinical signs noted 1 h after dosing, were piloerection, diarrhoea, prone/lateral position.",,,,,,,,,,,,,,,,30,,,,test substance: acid black 10b,rat/wistar 2,,,,f,,,,10,"3.1, 10, 15, 16, 18",g/kg bw,,yes,,,,,,,,,,,water,,,,the results as presented are valueless as the table provided has transcriptional errors in it.,1974,,no,,,1,this study was provided as a 2004 certified translation with the comment that ‘the raw data documentation did not correspond to current standards. the doses started at higher concentration than the current guideline.,
acid black 1,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_018.pdf  ,there were no symptoms of intoxication.,,,"> 5,000",ld50 mg/kg bw,,,"the lethal dose (LD50) was > 5,000 mg/kg body weight.",,,,,,,,,,,,,test substance: acid black n° 1,mouse/cf1 (winkelmann),,,,,,m,,10,5000,mg/kg bw,single application,yes,,,,,,,,20,,,bi-distilled water,,,,,1983,,no,,,2,this study was provided as a 2005 certified translation.,
basic yellow 87,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_081.pdf,,,"with the exception of enlarged heart (1500 mg/kg, 1 male) and dark areas or dark-red lobes on the lung (500 mg/kg, 1 male, 1 female) no visible lesions were noted in the animals that survived to study termination. ", >1500; 500-->1000,ld50 mg/kg bw female; male,,,"the study results indicate a median lethal dose between 500 and 1000 mg/kg bw in female and >1500 mg/kg bw in males, respectively.",,,,,,,,,,test substance in water,,028400A8AA,test substance: mip 2982,rat /cd,,,,f & m,,,,4; 10,"500, 1000, 1500, 2000",mg/kg bw,,yes,,,,,,,,,,,,,,14,,,,yes,,,1,"taken from sccnfp/0730/03. n animals : 2 males + 2 females at 500, 1000, 1500 mg/kg bw; 5 male + 5 female at 2000 mg/kg bw. the acute oral toxicity was determined in a dose-limit test protocol using 22 animals. ",
"2,7-naphthalenediol ",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_034.pdf,,,,720,ld50 mg/kg bw (655-792),,,the lethal dose (LD50) was 720 mg/kg body weight.,,,,,,,,,1,,,,"test substance: 2,7-dihydroxynaphthalene",mouse/cd-1,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,"1, 2",taken from sccnfp/0232/99,
"2,7-naphthalenediol ",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_034.pdf,,,,> 5000,ld50 mg/kg bw,,,the lethal dose (LD50) was > 5000 mg/kg body weight.,,,,,,,,,1,,,,"test substance: 2,7-dihydroxynaphthalene",rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,no,,,"1, 2","taken from sccnfp/0232/99 ref.: 1,2",
"2,7-naphthalenediol ",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_034.pdf,"at all doses, animals showed lethargy and pale extremities. hunched posture and rough fur were temporarily observed. with increasing doses, the rats collapsed or died immediately.","post-mortem revealed hemorrhagic oedema and hyperaemia of the lung and the liver, hemorrhagic erosion in the stomach mucosa and partial hyperaemia of the duodenum with bloody-mucous content. ",,2160,ld50 mg/kg bw,yes,sex: male. dosage (mg/kg bw) - mortality (no. deaths/ no. dosed): 1600 - 2/5; 2000 - 5/5; 3200 - 5/5; 4000 - 5/5. sex: female. dosage (mg/kg bw) - mortality (no. deaths/ no. dosed): 1600 - 1/5; 2000 - 1/5; 3200 - 4/5; 4000 - 5/5.,the ld50-value was calculated to be 2160 mg/kg bw.,,,,,,yes,,,20,test substance in the vehicle,,,"test substance: 2,7-dihydroxynaphthalene",rat/cfy,,,,f & m,,,,10,"1600, 2000, 3200, 4000",mg/kg bw,,yes,,,,,,,,,,, aqueous carboxymethylcellulose,,,14,"this is an old study. however, despite deficiencies (predating oecd guidelines and glp, lack of data of the test substance), it is not necessary to repeat the study.",,,no,,,3,,
butylphenyl methylpropional (p-bmhca) ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf & https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf,"unspecific clinical signs of toxicity, i.e. poor general state, rough fur coat, drunken and spastic gait, dyspnoea, apathy and abnormal position were observed in all dose groups. ",,"necropsy of the animals that had died revealed dilated hearts, congestions and discoloured livers, while sacrificed animals showed no gross-pathological findings.",1390,ld50 mg/kg bw/d,yes,"mortality was observed, starting 1 day after application of the test substance ",the acute oral toxicity (ld50) in rats was determined at 1390 mg/kg bw (95% confidence limits: 1019 – 1867 mg/kg bw).,,,,,,,,,/,,,,test substance: bmhca,rat / sprague-dawley,,,,f & m,,,fasted rats,10,"681, 1000, 1470, 2150, 3160",mg/kg bw,,yes,,,,,,,,10,,,aqueous carboxymethyl cellulose,0.5,,14,"acute toxicity after all relevant routes of application of bhmca was investigated in rats, mice and rabbits (oral, dermal, intraperitoneal, inhalation). the acute oral ld50 value in rats was determined to be 1390 mg/kg bw and the acute dermal ld50 value in rabbits >2000 mg/kg bw. thus the acute toxicity of p-bmhca can be considered moderate (oral route). an inhalation toxicity test in rats led to no mortalities but signs of systemic toxicity after exposure to a p-bmhca saturated atmosphere continued to be observed for 7 hours. however, the assessment of inhalation toxicity on the basis of this study is limited due to the low volatility of p-bmhca (vapour pressure: 0.0025 hPa at 20°C).",1979,,no,,,,guideline: / (basf se 1981; rifm#63831),
