dossier,guideline,PDF link,type,clinical observations,functional observations,other,haematology,"urinalysis ""Urinalysis""[Mesh]",blood and serum biomarkers,gross pathology,histopathology,critical effect,point of departure (pod),description of pod ,target organ,moribund or dead animals prior to study termination,mortality rate,conclusion,homogeneity and stability ,treatment prior to application,pH and adjustment,"physical form (solid, liquid, aerosol, dust)",concentration (%),composition,purity (%),particle size and procedure,solubility in vehicle,chemical batch nr,additional info,species/strain,source,"age at start of experiment (days, weeks, months, years)","age  unit (day, week, month, year)","sex (female, male)",feed,weight,"weight unit (gram, kilogram)",n animals / group,dose levels,dose level unit (or extra info),dose volume ml/kg bw,administration scheme,"oral ( gavage, diet, water, intubation, other)",dermal,"patching technique (open, semi-occluded, occluded)",body surface (cm2 or %),skin condition,area of body,"inhalation ( nose head - only, whole body)",other,rinsing,vehicle name ,vehicle concentration %,sampling ,observation period day ,exposure period + recovery period days,year,GLP,SCCS comment to test,Ref. in dossier,preliminary test ,control group + satellite group,klimisch score,additional information,own comments
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,,,,,,,,"10 animals from each group killed in weeks 4, 8, 12, 24 and 36 and subjected to bladder histopathology and SEM; remaining rats kept until week 104 and subjected to histopathology. hyperplasia of bladder starting in 2% animals after 4 weeks, increasing severity until week 104; at 36 weeks hyperplasia also in other groups. for 2% animals: no development of papilloma until week 36; papilloma in 2 of 5 rats killed in week 104. no development of carcinoma until week 36; carcinoma in 2 of 5 rats killed in week 104. for 1% animals: no development of PN hyperplasia, papilloma or carcinoma until week 104; simple hyperplasia from week 36. no findings at lower doses.",,,,,,,,,,,,"0, 0.25, 0.5, 1.0, 2.0",,97,,,,test substance: SOPP,rat/f344,,,,m,,,,,"0, 0.25, 0.5, 1.0, 2.0",%,,,yes,,,,,,,,,,,,,104W,,no,"subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.","64, 211",,,3,"abstract fukushima in japanese, supporting study; only bladder investigated. purity at least 97%, ",
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,36 treated and 11 control rats investigated. ,,,,,,,findings in urinary bladder: papillary/nodular hyperplasia in 86% treated rats vs 0% in controls (p≤0.01); papilloma in 54% treated rats vs 0% in controls (p≤0.01); carcinoma in 39% treated rats vs 0% in controls (p≤0.05).,,,,,,,,,,,,2,,,,,,test substance: SOPP,rat/f344,,,,m,,,,40,2,%,,,yes,,,,,,,,,,,,,50W,,no,"supportive, explorative  study; only results from bladder reported. no information on purity of sopp. subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.",107,,"control group (basal diet, 20 animals) ",3,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,,,,,,,,only bladder examined (once per week by TTEM). after 4 weeks an increase in dark-stained cells and a few mitoses were observed. the authors suggest that these changes are the prodromal stage of the tumours induced by SOPP after longer treatment periods. ,,,,,,,,,,,,,,,,,,test substance: sopp,rat/f344,,,,m,,,,,"0, 2",%,,,yes,,,,,,,,,,,,,28d,,no,"publication in Japanese, abstract in english, supporting study. purity of sopp unclear (due to japanese language). subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.",62,,,3,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,"sacrifice after 3, 7, 14, 30, 65 and 90 d; blood, urine, liver, kidney and urinary bladder samples examined at each time point. reduced food intake and body weight decrease returned to normal after 2 weeks. ",,,,,,,"increased rate of mitosis in the bladder epithelium from day 3 (although declining over time, the rate was still elevated at the end of the study). increased thickness of the bladder epithelium from day 14 until end of study (classified as hyperplasia with accompanying increased frequency of cell infiltration). no tumours of urinary bladder.",,,,,,,,,,,,,"72% SOPP; 25.6% water, 1.05% NaOH ",,,,,test substance: SOPP,rat/f344,,,,m,,,,,2.0,%,,,yes,,,,,,,,,,,,,90d,,no,"subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.",227,,,3,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,investigation of the urinary bladder by LM and SEM at several time points did not reveal any effects. ,,,,,,,,,,,,,,,,,,,,,,,,,test substance: SOPP,mouse/b6c3f1,,,,m,,,,,2.0,%,,,yes,,,,,,,,,,,,,36W,,no,"information taken as given by the applicant; abstract in japanese. no information on sopp purity. subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.",64,,,3,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,"LM and SEM in 3 males and females of control and 2.0% group at 4, 8 and 13 weeks. reduced body weight gain in males at 1 and 2% and in both sexes at 4%. reduced mean food intake in both sexes at 4%.  no other toxic effects based on remaining urinary parameters, haematology, clinical chemistry, gross necropsy and full routine histopathology. no abnormal findings in the bladder epithelium of the 2% group at 4, 8, and 13 weeks based on LM and SEM.",,,no other toxic effects based on remaining haematology,"increased urinary pH value and decreased urine density at 4% in both sexes. no other toxic effects based on remaining urinary parameters,",no other toxic effects based on remaining clinical chemistry,no other toxic effects based on remaining gross necropsy ,"no other toxic effects based on  full routine histopathology. no abnormal findings in the bladder epithelium of the 2% group at 4, 8, and 13 weeks based on LM and SEM.",,,,,,,,,,,,,,,,,,test substance: SOPP,mouse/b6c3f1,,,,f & m,,,,20,"0, 0.25, 0.5, 1.0, 2.0, 4.0",%,,,yes,,,,,,,,,,,,,91,,no,"supporting study. no information on sopp purity. subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.","252, 255",,,3,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,"investigation of bladder by LM and SEM; 12- and 48 week urines analysed for volume, osmolality, pH, microscopy. morphological changes in bladder only remarkable in rats; reduced body weight gain in rats, mice: growth retarded from week 8. guinea pig: retardation of body weight after week 8.",,,,,,,"rats: simple epithelial and pleomorphic microvilli at each time point, pn ( papillary or nodular) hyperplasia in weeks 36 and 48; slightly increased urinary pH values and crystal formation after 12 and 48 weeks.guinea pig: slight crystal formation after 12 and 48 weeks; no bladder changes. mouse: no effects on urinary parameters or bladder.",,,,,,,,,,,,,,,,,,test substance: SOPP,rat/f344; mouse/b6c3f1; hamster/syrian golden; guinea pig/hartley,,,,m,,,,,2,%,,,yes,,,,,,,,,,,,,48W,,no,"supporting study; species differences in bladder toxicity of sopp. no information on sopp purity. subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.",99,,,3,4 species,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,"in week 4, 8, and 12 five rats per group were examined by LM and SEM. the bladders of OPP-treated rats presented abnormal picture at all times of examination. ",,,,,,,,,,,,,,study demonstrates that  SOPP is a more potent bladder toxicant in rat than OPP. ,,,,,,,98,,,,test substance: OPP,rat/f344,,,,m,,,,15,"0, 0.25, 0.5, 1.0, 2.0",%,,,yes,,,,,,,,,,,,,,,no,"study demonstrates that  sopp is a more potent bladder toxicant in rat than opp. subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.",211,,,3,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,"exp1: 1, 2 or 4 intravesical instillations into urinary bladder of saline, NaOH (solution adjusted to pH 11.1), 0.1 % SOPP, 0.1 % PBQ or 0.1 % PHQ; 2-3 rats/group killed 24 hr, 4d and 7d after last injection; LM analysis of  bladder.. experiment 2: investigation of tumor- initiating potential of chemicals; intravesical instillations into urinary bladder of 0.1% PBQ or 0.1% PHQ or 2.0 ml saline twice a week for 5 weeks followed by 31 weeks basal diet with or without 5% sodium saccharin. ",,,,,,,"exp 1: occasional slight inflammation and epithelial hyperplasia with SOPP and PHQ; inflammation and hyperplasia of bladder mucosa, papillary or nodular hyperplasia after PBQ treatment. exp 2: BBN group:2 bladder papilloma, 9 pn hyperplasia, 11 simple hyperplasia. SOPP and PHQ: no hyperplastic changes. PHQ: pn and/or simple hyperplasia in 9 animals.",,,,,,,,,,11.1,,0.1,,,,,,test substance: SOPP,rat/f344,,,,f,,,,20,0.1,%,,,,,,,,,,intravesical ,,,,,,,,no,"no tumour-initiating potential observed for sopp and phq; pbq could act as initiator and promotor. no information on sopp purity. subchronic (up to 90days) toxicity studies performed with opp and sopp demonstrate that opp affects kidneys (both sexes) and urinary bladder (males only) of rats. kidney effects observed in males were increased organ weight, reduced renal function, induction of nephritis, papillary necrosis, pelvis and/or papilla hyperplasia, renal tubular proliferation and renal tubular dilatation. in females, kidney effects consisted of reduced urinary pH and nephritis. effects in the urinary bladder of male rats comprised increased organ weight, increased epithelial cell proliferation, and induction of simple hyperplasia, papillary or nodular (P/N) hyperplasia, and papilloma (but not carcinoma). sopp also affected the kidneys and urinary bladder, as well as the liver, in rats. the liver effects of sopp included significantly decreased alanine aminotransferase (alt) activity in the males and females. kidney effects induced by sopp in both sexes included increased organ weight and pyelonephritis. ingestion of sopp (but not opp) favoured the excretion of alkaline urine in both sexes of rats. subchronic oral toxicity data are also available for mice (sopp) and dogs (opp). except for body weight reduction, mice (both sexes) fed diets containing up to 40000 ppm sopp for 13 weeks showed no treatment-related pathology in the liver, kidney, and bladder. in both sexes of dogs, opp induced a dose-dependent increase in emetic activity. in a 4-week dermal exposure study of opp in mice (both sexes), the only effect reported was ulcerative skin lesions. no repeat dose studies were provided for popp.","96, 97",,positive control: 0.05% bbn feeding ,2,experiment 1: group size not explicitly mentioned ; experiment 2: 20,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",OECD TG 453,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,"mean body weights were decreased in mid- and high-dose males and females, while food consumption remained unchanged. ophthalmology, haematology, and clinical chemistry were not remarkable. a 5% decline in body weight gain was noted in 4000 ppm males and females while 11% declines were seen in males and females of the highest dose tested.  supplemental data submitted by the registrant to calepa indicated that there were problems in the reporting of the various evaluations that pertain to the eyes and optic nerves (ophthalmology, clinical observations, necropsy, and histology) for this study. since OPP and its metabolites are chemically similar to the metabolites of Naphthalene, which are responsible for its cataractogenic activity (gehring, 1971, wells et al., 1989), potential injury to the vision system attributable to OPP administration in both sexes should not be dismissed without further investigation. although the elevated cardiac incidence did not occur in the high-dose females, this group showed reductions in feed consumption and body weight gain and feed restriction/body weight reduction is known to reduce the incidence and severity of cardiac fibrosis in both sexes of f344 rats (imai et al., 1991).",,,, clinical observations at 4000 ppm and above included abnormal urine colour and various stains. urinalyses showed an increased incidence of blood in high-dose males. ,,"postmortem findings in mid and/or high dose groups included wet/stained ventrum, urinary bladder masses, as well as pitted zones and abnormal texture in the kidney, essentially in the 2-year groups. ","histopathology revealed increased incidences of - simple urinary bladder hyperplasia in 1 yr 8000 ppm males(100 % compared to 0 % in controls; p p<0.01), in 2 yr 4000 ppm males (12 % compared to 4 % in controls,not statistically significant), in 2 yr 8000 ppm males (84 % compared to 4 % in controls; p<0.01) and 12% (p<0.05) in 2 yr 10000 ppm females); - nodular/papillary urinary bladder hyperplasia in 1 yr 8000 ppm males (100 % vs 0 % in controls; p<0.01) and 2 yr 8000 ppm males (86% vs 1% in controls; p<0.01) and one case in 2 yr 10 000 ppm females; - urinary bladder calculi, congestion, haemorrhage, mineralisation and necrosis in 2 yr 8000 ppm males; - urinary bladder papilloma in 1 yr (30 % vs 0 % in controls; p<0.05) and 2 yr (12 % vs 0 % in controls; p<0.05) 8000 ppm males; - urinary bladder transitional cell carcinoma in 1 yr 8000 ppm males (15 % vs 0 % in controls) and 2 yr 4000 (4 % vs 0 % in controls) and 8000 ppm males (68 % vs 0 % in controls; p<0.01); - ureter dilatation and/or transitional cell hyperplasia in 2 yr 10000 ppm females; - calculi in the renal pelvis of 1 yr 8000 ppm males; - renal cystic tubular dilatation in 1 yr 10000 ppm females (incidence 25 %; p<0.05)and in 2 yr 8000 ppm males (incidence 34 %; p<0.05) and 10000 ppm females (incidence 74 %;p<0.05); - renal tubular hyperplasia in 1 yr and 2 yr 10000 ppm females (incidence 60 %;p<0.05%);  - renal infarct in 1 yr and 2 yr 10000 ppm females; - acute inflammation and dilatation of the renal pelvis in 2 yr 10000 ppm females ; - renal mineralisation in 2 yr 10000 ppm females. calepa (2007) discusses further aspects: a) eye effects: other organs that OPP affected were the eyes and heart. at ophthalmology, increased (p<0.05) incidence of cataract occurred in the terminal sacrifice males at 8000 ppm (61 % incidence vs. 36 % in the controls) and increased (p<0.05) incidences of cataract, uveitis,  and corneal vascularization occurred in the females at 4000 ppm (incidences of 27 %, 22 and 22 %, respectively; the respective incidence in the controls were 7 %, 4 %, and 2 %). the female histological data for the 4000 ppm group exhibited increased (p<0.05) incidences of retinal degeneration (27 % incidence vs. 7 % in the controls) and optic nerve atrophy (29 % incidence vs. 13 % in the controls). the incidences of these eye effects did not similarly increase in the 10000 ppm female group. b) cardiac effects: in the terminal sacrifice females, the incidences of cardiac degeneration and (or) fibrosis in both the controls and high-dose groups were comparable (54 % and 46 %, respectively). by contrast, the mid- and low-dose groups exhibited increased (p<0.05) incidences (84 % and 75 %, respectively). in the 2-year terminal sacrifice males, the incidences of vascular mineralisation involving the wall of the heart-base vessels in the 0, 800, 4000, and 8000 ppm groups were 2 %, 8 %, 22 % (p<0.05) and 11 %, respectively. ",,39; 49 ,noael mg/kg bw/d in males; in females,"kidney, urinary bladder, eyes, heart ",yes,mortality was slightly increased in high-dose males. ,"with respect to the heart effects in females, CalEPA derived a LOAEL of 49 mg/kg bw/d from this study","4 analyses covering a period of 2.5 years, i.e. confirming stability. ",,,,,,99.5 – 100,,,S-01-93,"test substance: OPP, technical grade",rat/CDF[F-344]/BR,,,,f & m,,,,40; 100,"0, 800, 4000, 8000 / 10000 ",ppm corresponding to 0/0;39/49; 200/248 and 402/647 mg/kg bw/d male/female,,,yes,,,,,,,,,acetone/corn oil,,,,2y,1996,yes,"OPP affects kidneys, urinary bladder, eyes and heart. tumours occurred only in the urinary bladder of males, but females exhibited greater severity and incidence of kidney lesions compared to males. based on toxic effects observed at 200 (males) and 248 (females) mg/kg bw/d NOAELs of 39 (males) and 49 (females) mg/kg bw/d can be derived. sccs considers the argumentation by CalEPA to consider 49 mg/kg bw/d as loael based on cardiac degeneration as not robust enough to set a LOAEL based on the following grounds: (1) the incidence of cardiac degeneration and fibrosis was in general very high which indicates that age of the rats might have contributed to this finding (2) there was no dose-relationship and at the highest dose, the incidence was 46 %, i.e. lower than in controls. calepa argues that low incidences of cardiac degeneration and fibrosis in the high dose group might be due to reduced weight gain in that group. imai et al. (1992) have shown that incidence and severity of cardiac fibroses in the same strain of rats could be reduced by food restriction (i.e. lower body weight gain). analysis of the weight gains of rats revealed, that weight gains in females in the imai (1991) study were suppressed by 52.5 – 55 % compared to controls and at this body weight reduction – when compared to controls - grade 2-3 fibrosis was significantly reduced, whereas grade 1 fibrosis was increased. in the study by wahle and christenson (1996) body weight gains of females at the highest opp dose were reduced by 15 % compared to controls. it is questionable whether this reduction of body weight reduction would have had an effect on the prevention of cardiac degeneration and fibrosis. (3) cardiac degeneration and fibrosis was not observed in other long-term study performed with OPP and SOPP. (e.g. in mice treated with SOPP, hagiwara et al., 1984)",303; 304,,,1,"3 years study. a) one year sacrifice group: 20/sex in control and high dose group, 10/sex at low and intermediate dose; b) two-year sacrifice dose: 50/sex in each dose group.",OECD 453 is a combined carcinogenicity and chronic exposure test guideline. OECD 453 has been considered as part of carcinogenicity endpoint in the data scheme evolution but in the opinion the study appears under repeat dose toxicity study
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,decreased (p<0.01) body weights occurred in males (10 %) and females (6 %) at 20000 ppm.  ,,,,,,another effect observed at the highest dose level was increased relative testis weight (46 %).,extensive renal damage characterised by marked tubular dilation with varying degrees of acute and chronic inflammation was found in male and female animals at the highest dose,,,,,yes,"in the exposed as well as the control groups, only 22-32 % of the animals were alive at the end of 24 months.",,,,,,,commercial grade Dowicide 1,,,,,test substance: Dowicide 1,rat/Wistar ,,,,f & m,,,,50,"0, 200, 2000, 20000 ",ppm,,,yes,,,,,,,,,,,,,24M,,no,due to poor reporting the study cannot be used to derive a NOAEL.,106,,,3,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,in vivo,increased water intake at 531 and 1140 mg/kg bw/d and up to 8 % and 12 % reduced body weights at 531 and 1140 mg/kg bw/d – the latter finding most probably due to reduced food intake. ,,,increased (20 %) white blood cell count at the highest dose,"hematuria at 531 and 1140 mg/kg bw/d,",,"affected organs were kidneys, urinary bladder and spleen. the absolute spleen weight was decreased by 16 – 24 % in all treated groups.","tissue, findings, at dose 0 [mg/kg bw/d]; 269 [mg/kg bw/d]; 531 [mg/kg bw/d]; 1140 [mg/kg bw/d] / kidneys, hyperplasia 0/24 (0 %); 0/20 (0 %); 0/24 (0 %); 12/23 (52%), pyelonephritis 0/24 (0 %); 0/20 (0 %); 1/24 (4 %); 15/23 (65%), interstitial nephritis 0/24 (0 %); 0/20 (0 %); 2 (24) (8 %); 8/23 (35%), combined incidences of pyelonephritis and interstitial nephritis 0/24 (0 %); 0/20 (0 %); 3/24 (13 %); 23/23 (100%) / urinary bladder, simple hyperplasia 0/24 (0 %); 2/20 (10 %); 0/24 (0 %); 7/23 (30%), papilloma 0/24 (0 %); 0/20 (0 %); 3/24 (13 %); 2/23 (8%), carcinoma 0/24 (0 %); 0/20 (0 %); 20/24 (83%); 2/23 (8%), combined papilloma and carcinoma incidences 0/24 (0 %); 0/20 (0 %); 23/24 (96%); 4/23 (17%) ",,,,,yes,"survival was 100 %, 71 % (p < 0.05) and 65 % (p < 0.05) at 269, 531 and 1140 mg/kg bw/d, respectively. ",,,,,,"0, 0.625, 1.25, 2.5",,> 98,,,MM01040,test substance: Dowicide 1,rat/ F344/DuCrj ,,,,m,,,,,"0, 269, 531, 1140 ",mg/kg bw/d,,,yes,,,,,,,,,,,,,91w,,no,the study was performed in male animals only. it is not clear whether the study was performed according to an accepted test guideline and in accordance with glp. the study can be used as supportive information that kidneys and urinary bladder represent target tissues for OPP induced toxicity and that tumours are induced in the urinary bladder,102,,,3,,
